genes	logFC_TgvDMSO_6h_QGP1	FDR_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	FDR_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	FDR_Tg_24hv6h_QGP1
SLC6A9	3.95157532490517	4.83788322323398e-05	3.76401099563541	4.70707515191531e-05	-0.187564329269753	0.732595064555989
ARHGAP42	3.05070283914732	4.83788322323398e-05	3.10371241910234	3.16074256888846e-05	0.0530095799550183	0.918469820554693
MFSD9	1.98827969198856	4.83788322323398e-05	1.20719855789772	0.000562948740348024	-0.781081134090832	0.0186970937306844
NFIL3	2.39261968032172	4.90472372316054e-05	3.07880624751044	9.04891547218108e-06	0.686186567188716	0.0538104280383965
FLRT3	2.55148248744256	4.90472372316054e-05	3.41072232080097	8.46447569698958e-06	0.859239833358414	0.0294569355234262
ARG2	2.257921322204	4.90472372316054e-05	3.01427686763279	8.46447569698958e-06	0.75635554542879	0.0351074034420706
TBC1D9B	-1.7103478637842	5.08565104092781e-05	-0.700746390097234	0.00530352715039717	1.00960147368696	0.00364730454102474
SV2C	5.44985224397564	5.73741793301689e-05	5.64030762785684	2.95499943706571e-05	0.190455383881205	0.759029504123743
RGS2	2.37118195103383	6.28938774641141e-05	1.82749820638351	0.000179112108033691	-0.543683744650322	0.128384172101788
MTHFD2	2.19833250975744	6.43416566429719e-05	1.38593527571158	0.00057014970621227	-0.812397234045863	0.0286188136380043
RGS4	1.60640724470033	6.43416566429719e-05	-0.141911967194679	0.499476855828996	-1.74831921189501	0.000570889084325136
DIRAS2	2.30041253327838	6.43416566429719e-05	1.33680006407634	0.00100856670745849	-0.963612469202039	0.0152161678408101
SLC31A1	1.8763774520082	6.43416566429719e-05	1.69478987146067	8.32830773248086e-05	-0.181587580547537	0.540577446094655
PAIP2B	1.69935539511275	6.43416566429719e-05	0.958231841079215	0.00116755865240923	-0.741123554033538	0.0152161678408101
KCNE4	2.65383108530456	6.51809743616539e-05	3.06012440252013	2.30609060258617e-05	0.406293317215574	0.300244848395959
SEL1L	2.79384964789516	6.72573027565683e-05	2.16341102962697	0.000192035945992674	-0.630438618268191	0.13652409168322
DERL2	1.51735440972369	6.72573027565683e-05	1.0827993723133	0.00032940560990605	-0.434555037410388	0.0783569192599194
NR4A2	3.57250006133268	6.72573027565683e-05	2.3712696214002	0.000393708913607532	-1.20123043993248	0.0362128469380574
ANKRD10	1.59923424889087	6.84732609239771e-05	1.35461304986288	0.000130762989745538	-0.244621199027991	0.321412817199309
PSPH	2.01394124289655	6.84732609239771e-05	1.80744123323338	9.35034061300981e-05	-0.206500009663172	0.517083358311582
SCN4A	3.46632476843215	7.20273012786596e-05	4.66266176376827	9.35027628306826e-06	1.19633699533612	0.0189423692332957
C2CD4B	3.97193635593023	7.20273012786596e-05	3.12662770059402	0.000208250984597884	-0.845308655336215	0.120884651203489
PDIA4	1.78734324806131	7.20273012786596e-05	0.567081773372933	0.0254066792304848	-1.22026147468838	0.00266344272599892
SERP1	1.94700159395358	7.20273012786596e-05	1.50180252511635	0.000226330508051606	-0.445199068837235	0.148914616849275
LINC00473	3.02327748097139	7.20273012786596e-05	2.42136436649254	0.000193721549643063	-0.60191311447885	0.166096264155042
CGA	3.75987730329315	7.20273012786596e-05	4.57771447680229	2.26805283781771e-05	0.817837173509141	0.142796210293274
EDEM1	1.75921028502854	7.20273012786596e-05	1.21852352496674	0.000425807830921629	-0.540686760061804	0.0668533456904703
LMO4	1.51604976468535	8.50683081428289e-05	1.70614981870748	3.19351618159485e-05	0.190100054022127	0.442401152792977
MYC	1.41839144256454	8.68476102272178e-05	1.09802104188004	0.000272371050709229	-0.320370400684497	0.170661587118327
GARS	2.11223098480383	8.68476102272178e-05	1.8018958593395	0.000154175042524589	-0.310335125464329	0.361717956375969
NEDD9	4.54658026141042	8.68476102272178e-05	4.30024117256127	9.26697093875752e-05	-0.246339088849149	0.669463500803019
TMEM156	2.94014629138342	8.68476102272178e-05	2.9258167005088	7.17276910464088e-05	-0.0143295908746247	0.982562277686619
SESN2	2.90875295702179	8.68476102272178e-05	3.07912300534589	5.07606842043583e-05	0.170370048324105	0.72682386841951
AREG	5.29079245774644	8.68476102272178e-05	5.70372718648495	4.27457142511386e-05	0.412934728738511	0.490739464638153
TRIM67	1.71301962637551	8.68476102272178e-05	1.55908241777229	0.000115657486005592	-0.153937208603211	0.592750020545996
PCSK1	1.68036507448143	8.68476102272178e-05	1.83584193505156	4.45978092773008e-05	0.155476860570126	0.588217871606076
SYVN1	1.90141813825709	8.71370159380719e-05	1.26880804653306	0.000641240240434175	-0.632610091724029	0.0565514372237075
SELENOK	2.31778573363984	9.54621166513846e-05	1.76397655251522	0.000317957037749942	-0.553809181124621	0.14325731494066
MCFD2	1.58607817071795	9.54621166513846e-05	1.19764354847407	0.00034573943579376	-0.388434622243887	0.144776216266167
LURAP1L	1.87327975331983	9.70620115661593e-05	2.73855526591267	8.59277902884751e-06	0.865275512592844	0.0139464265151107
RAPGEF4	1.89076342461534	9.99948729314488e-05	0.561088114126734	0.0421660481155456	-1.32967531048861	0.00284397503507515
LRP5	-1.83268232294457	0.000104576371726706	-1.24662608452094	0.000643100460270103	0.586056238423631	0.0722107294397477
PHLDA1	2.18314356025037	0.000105811856254855	1.62331302157285	0.000393213324966608	-0.559830538677513	0.128579386393193
STC2	3.48161710133695	0.000107480638760722	3.72987614668672	5.86404128156455e-05	0.248259045349777	0.667454414314492
RRP12	1.68653960785855	0.000109753796884571	1.86178533333979	4.90767571846978e-05	0.175245725481245	0.554226882682977
TNS3	-1.69320247992622	0.000112191726870611	-1.02345288205966	0.00128521249028345	0.669749597866557	0.0367853483684446
RPS6KA2	1.5778864192967	0.000112191726870611	1.43493483498664	0.000142574227364815	-0.142951584310052	0.612881448770155
ARNTL	1.64223373480123	0.000112191726870611	2.06987798434272	2.30609060258617e-05	0.427644249541487	0.128441718679262
CACNG4	-2.85231294226553	0.000124901267008382	-0.774784990464493	0.0424436403103385	2.07752795180104	0.0031201867261391
ENTPD7	1.781830323053	0.000124901267008382	0.915246671285082	0.00382268953249005	-0.866583651767918	0.0154284985638771
PRNP	1.76175236257192	0.00013500431159361	1.62830933352108	0.00014832138280818	-0.133443029050839	0.684493050421178
ZNF165	1.82713684611433	0.000146248810171806	0.763285763789874	0.0123732916280066	-1.06385108232445	0.00827299519792365
SIPA1L2	1.58653039449371	0.000146654970765633	1.14877895356736	0.000631091739467392	-0.437751440926351	0.125066962020265
SLC39A14	1.98229346267638	0.000154616680446721	1.20842108168459	0.00165435631784179	-0.773872380991795	0.0422698511614788
TM4SF1	1.50656018319587	0.000158085544739652	0.601024813814455	0.015790319712228	-0.905535369381413	0.00821962426304143
LRFN2	-2.87665078162546	0.000170726145703147	-2.16675868720389	0.000409417749463454	0.709892094421563	0.186810479525091
PACSIN2	1.36630270267963	0.000172606814770312	0.864352944698369	0.00153326045027876	-0.501949757981259	0.0579874525478874
OLFM2	-2.25798264168078	0.000173028318967464	-0.97381976198266	0.00980668729109115	1.28416287969812	0.0104013525105234
CHAC1	3.96570418993034	0.000173028318967464	4.15596656779293	9.26697093875752e-05	0.190262377862589	0.778594964361559
XPOT	1.94144022401576	0.000175785180736802	1.74744875511636	0.000213138057561926	-0.193991468899396	0.593801364275178
ELL2	2.28146460343363	0.000177653376323783	2.01535352022604	0.000231135377801733	-0.266111083207587	0.525159293510579
CALR	1.57969975830395	0.000177653376323783	1.22187173068335	0.000511613507200114	-0.3578280276206	0.211678461443056
BMP6	3.19340803353545	0.000177653376323783	4.44961025488121	2.02439216259979e-05	1.25620222134577	0.0274350339326169
RASGRP3	3.32919095560024	0.000177653376323783	3.92426805007433	4.90767571846978e-05	0.595077094474083	0.240244226819472
GAPLINC	2.58168513762353	0.000177653376323783	2.86863905832339	7.24736506079949e-05	0.286953920699865	0.525550948714178
TGOLN2	-1.88604426854776	0.000178163208822214	-1.13658569489803	0.00203621644785635	0.74945857364973	0.045052000027662
TGFBR2	-2.94314793893036	0.000178548019412912	-1.42431775671664	0.00300068457048212	1.51883018221372	0.0224484645287621
IRS2	1.68321487557169	0.000179692129077325	1.19159559376483	0.000877486145257032	-0.491619281806852	0.118732594396609
ESRP1	1.55538192427215	0.000185843882046218	1.13141616105314	0.0007870939608924	-0.423965763219015	0.14325731494066
LINC00951	-3.2399932717791	0.000189510916130376	-2.68939392145928	0.000225460521731848	0.55059935031982	0.446495693799474
ITGB5	1.44539802771749	0.000195061603008362	2.74357011606177	6.19726423997945e-06	1.29817208834428	0.00134164132071861
ZNF697	1.50908719032206	0.000198571102052376	1.76020904126311	5.86404128156455e-05	0.251121850941048	0.367254425458944
TMEM39A	1.52848021361436	0.000198586928706354	1.04522363877975	0.00117523901189781	-0.483256574834606	0.0974131530770285
ZFAND2A	2.33184436150309	0.00020318769222668	2.36406740552883	0.000130762989745538	0.0322230440257385	0.953912508347789
RET	-1.6956527184001	0.00020318769222668	-1.79775476630976	0.000102052943123816	-0.102102047909659	0.776718884587396
HYOU1	1.79873132656532	0.000211456534700766	1.42891311731561	0.000525291147040554	-0.369818209249703	0.267111405285339
KCTD12	2.31639147615242	0.000211456534700766	1.19371471814743	0.00561422993253957	-1.12267675800498	0.0204024289744479
OR51E1	-3.94253228272989	0.000211456534700766	-3.98936155700222	0.000115657486005592	-0.0468292742723313	0.975451976362944
BCAT1	3.97510274350357	0.000211456534700766	3.97651666680036	0.000147399135138499	0.00141392329679416	0.998783076944298
PPP1R15A	2.09861412795672	0.000214744208519139	2.32920522724107	8.83579227928733e-05	0.230591099284351	0.567117087026051
LOC91370	-3.13036422638474	0.000215616745946708	-2.8681803536917	0.000149334687367804	0.262183872693043	0.775939571735708
SLC4A10	-1.6634711206067	0.000220964556035132	-0.967162028097965	0.00289948414055506	0.696309092508734	0.0453397186357267
JADE1	1.38269623702628	0.000220964556035132	0.863987682976281	0.00219975433738907	-0.518708554050002	0.0642271340913824
DNMT3B	-1.82981452618119	0.000232457873240981	-1.19069640543729	0.00156827964782625	0.639118120743902	0.0827962392894866
FGF14	1.57473489182497	0.000232457873240981	0.840884814270978	0.00529163208624497	-0.733850077553994	0.0291602363935818
FFAR4	-2.27841242215235	0.000233814344842351	-1.91864196747122	0.000310886882055932	0.359770454681126	0.467797113469839
BET1L	1.36989515006483	0.000239295990669473	1.36481213614931	0.00016579820989629	-0.00508301391551679	0.990165345722963
ATF4	1.90201487082255	0.000246509577673859	1.60617199328364	0.000416135631493633	-0.295842877538911	0.418270721400226
CITED2	1.86850195759817	0.000246509577673859	1.40201137926979	0.000850589507994762	-0.466490578328371	0.186710236071269
ERO1B	1.52416801231143	0.0002493036347998	0.711148610884158	0.0111864698596751	-0.813019401427271	0.0173386658864113
ATP1B1	1.42384080617104	0.000274120791264872	1.20206640844804	0.00047262448515786	-0.221774397723	0.431815458479806
ANXA3	2.26761259343266	0.000274120791264872	3.62239162304692	1.27410506784701e-05	1.35477902961425	0.00821962426304143
KLHL14	-2.50379615582805	0.000274917767416989	-1.32405040474853	0.00349462383686257	1.17974575107952	0.0406805362308297
FNDC3B	2.00470214432459	0.000278494568629006	1.41249020252823	0.00125528288282972	-0.592211941796366	0.132192669122919
DNAJC22	-1.70365350121734	0.00027869775835298	-0.634581791910521	0.0253126414192862	1.06907170930682	0.0106745710572825
MTFR1	1.34803458789115	0.00027992658205608	0.747499995001311	0.00515508357839139	-0.600534592889838	0.0395705543266292
OPN3	1.95618353607942	0.00027992658205608	1.12122834645329	0.00418977019327655	-0.834955189626132	0.0430257021706878
LINC00365	4.82915555377995	0.000286978356173656	5.59533741547039	5.47039004209377e-05	0.766181861690442	0.207494188351362
CRELD2	1.4109625830506	0.000297731568308783	1.00322011388364	0.00133272898041104	-0.407742469166955	0.148914616849275
MTHFD1L	1.33038959985202	0.000300466847434347	0.673996475197685	0.00871219916968794	-0.656393124654331	0.0277615273098329
NANS	1.72675984940858	0.000304402217433748	1.19529228599881	0.00156827964782625	-0.531467563409769	0.126789635718279
IL1R1	2.96662501469973	0.000307795882620759	2.562513846813	0.000458588241375794	-0.404111167886725	0.450979280689514
JDP2	3.03194098722508	0.000307795882620759	2.07505603470617	0.0021952716353939	-0.956884952518909	0.0748461853900726
LIF	1.53287146292711	0.000307795882620759	0.290862948344471	0.249583555195474	-1.24200851458264	0.0033933326090886
SARS	1.88334319609485	0.000307795882620759	1.70666004185461	0.000352450508558904	-0.176683154240243	0.655836258532707
BRE-AS1	4.88065606508637	0.000307795882620759	4.36938203187992	0.000573191401359677	-0.511274033206455	0.45433909189941
SGMS2	1.96509910846106	0.000307795882620759	1.42384271950212	0.00123190750976231	-0.541256388958939	0.165532448479566
GRB10	2.01209383557984	0.000307795882620759	2.61753538211769	5.24129259640934e-05	0.605441546537854	0.128968260032647
DNAJB11	1.71826321826408	0.000307795882620759	1.08771966898901	0.00268089196483403	-0.630543549275068	0.0784736858120887
TLE3	-2.04202056777465	0.000307795882620759	-0.950697320459408	0.0115360941433949	1.09132324731524	0.0202735309933933
TRIB3	3.46564738842459	0.000307795882620759	3.61676779301816	0.000170797605108014	0.15112040459357	0.842057218524615
SEC24D	1.6564908969587	0.00031966026677895	0.962507082659972	0.0043798518828523	-0.693983814298724	0.0533474081647023
CELSR2	-1.90101100961646	0.000321501274414893	-0.97474676405657	0.00737547669644978	0.926264245559894	0.0317462806175928
EVA1A	-2.77625716562193	0.000327213002198089	-1.7695760093059	0.00191984444652904	1.00668115631603	0.0935697015930801
PALLD	2.43116714396037	0.000333558550654149	2.08452723522097	0.000516934780864462	-0.346639908739401	0.475888039452571
ALKBH3	1.64532077472899	0.000333558550654149	1.6944537746268	0.00019191415547124	0.0491329998978112	0.904919897109721
IARS	1.40521660311261	0.000342699630655267	1.38228097932366	0.000251268255135153	-0.0229356237889506	0.953617481552171
GRPEL2	1.42923313969847	0.000344293118446738	1.31895475832097	0.00036300225879923	-0.110278381377506	0.732544071404345
GCC1	1.31610100600413	0.000349780319251088	1.55919638363583	9.26697093875752e-05	0.243095377631701	0.367254425458944
TRERF1	-1.34549970550166	0.000351672495365006	-1.03527606271819	0.000972744341136081	0.310223642783468	0.267071054116173
DNAJC3	1.38517911436837	0.000351672495365006	0.431308149499949	0.0743380997659563	-0.953870964868425	0.00821962426304143
ERGIC1	-1.10827739633952	0.000364675837680984	-0.223878456329021	0.236908881674265	0.8843989400105	0.00422648844298029
KIAA0513	2.0488571056866	0.000375320731758641	1.77033972757532	0.000562436062898282	-0.278517378111275	0.51435356727604
NAV2	1.33937723211379	0.000412241239628689	0.882220521028833	0.00279326438988458	-0.457156711084961	0.113775733367174
DAPK1	1.18954314696899	0.000418903535071568	-0.569638040448036	0.0147679796271645	-1.75918118741703	0.000570889084325136
NCOA7	1.77605781690989	0.000419612198203063	1.16168444003344	0.00286290949942723	-0.614373376876448	0.10572404284325
ZFAND1	1.66985126197355	0.000423606252750423	1.43314689451892	0.000642514659507847	-0.236704367454631	0.507846601042045
LINC00261	-1.48395006567167	0.000424646101680154	-1.97977813090299	5.86404128156455e-05	-0.495828065231319	0.123381946644224
FAM167A	2.97149154422337	0.000434491947850488	3.32082329148233	0.00012731985234359	0.349331747258956	0.479446264527843
CA8	-1.29764914990237	0.000443450618088387	-1.59725938438068	9.26697093875752e-05	-0.299610234478302	0.278198431718731
HEPACAM2	-1.65148962604032	0.000443450618088387	-2.89247668506543	1.66510292116654e-05	-1.24098705902511	0.0105068161030967
MEGF8	-1.54388337601798	0.000445764658919178	-0.665243065534133	0.0231762654478453	0.878640310483842	0.019898214842426
FAM129A	3.75139363874864	0.000445834879402068	6.36169233281007	2.13910866334863e-05	2.61029869406143	0.00494282835610588
NDST4	-1.82886536678839	0.000449173524813834	-2.94841775245971	2.35739128363502e-05	-1.11955238567133	0.0164944699024493
STC1	2.42884994847247	0.000449173524813834	1.29785448730309	0.00810419350853751	-1.13099546116938	0.0407646363758236
STIM1	-1.23437284326216	0.000452931715305661	-0.202552153257205	0.348903477059501	1.03182069000496	0.00400565155478373
GPAT3	1.7102753229181	0.000453711267569523	1.78885574323217	0.000225460521731848	0.0785804203140696	0.853831322836193
KLK3	-3.70801455509141	0.000455844961472192	-4.05970680957573	0.000192668612597027	-0.351692254484326	0.726843451096142
FTSJ1	1.28381930403301	0.000465800465045402	0.880387540683085	0.00256279890233918	-0.403431763349926	0.146168773485205
HSPB8	-1.57889030475152	0.000468703636604734	-1.72556450420379	0.000188436612665035	-0.146674199452264	0.688750355836342
LRRC59	1.35061639125661	0.000471281706828735	0.946856486230215	0.00226665876093239	-0.40375990502639	0.168484946820257
GNL3	2.00503740934973	0.000475390180300125	1.76178421154872	0.000632444262558574	-0.243253197801005	0.580042795898625
OSBPL6	1.5771345899178	0.000475531428943024	1.56693126538757	0.000317957037749942	-0.0102033245302299	0.983243567955229
SLIT1	-2.26368273083711	0.000475531428943024	-0.53099697286635	0.156367535256698	1.73268575797076	0.0066517523083975
GFPT1	1.50297884142607	0.000495134527949444	1.535695752106	0.000283028936488848	0.0327169106799297	0.939266123408577
APELA	-2.00346884795096	0.000496510657678779	-3.09206480625087	4.28743875618357e-05	-1.08859595829992	0.057919075875715
LINC01091	1.51227911056545	0.000497349945885905	-0.00864672432892626	0.980757442044741	-1.52092583489437	0.00205034856445506
FZD1	-1.6077836794804	0.000503459567351591	-1.871101472446	0.000142103268133891	-0.263317792965599	0.459984729101933
SSTR5-AS1	-2.9093007798224	0.000507356274786202	-3.5606314615876	0.000127534591630852	-0.6513306817652	0.388952084158619
PNPLA8	1.6962379166366	0.000507461489310427	1.33367098403225	0.00123993666986327	-0.362566932604346	0.318828996114681
TSPAN12	1.16382254048441	0.00051599103711333	-0.00863005299138058	0.97473775544744	-1.17245259347579	0.00213733183165834
WNK2	-1.49053966942053	0.000523708075108685	-1.25004241243298	0.000858854635312465	0.24049725698755	0.477272623485732
YIPF5	1.31904128172222	0.000529303208249419	1.17781059188351	0.000652649848556369	-0.141230689838706	0.644535220536039
MARS	1.39387466395597	0.000531857773334178	1.70137363031865	0.000117480253701429	0.307498966362688	0.311245371290747
SOWAHC	1.92330972888002	0.000538352262497254	1.79001566250564	0.00051976757518835	-0.133294066374378	0.776662404603316
MMP13	3.3266101811283	0.000538352262497254	5.63737682200853	1.51848892931185e-05	2.31076664088023	0.00334407025628312
CD59	-1.94213964905506	0.000538352262497254	-0.906649050159411	0.0181665855863331	1.03549059889565	0.029630808364375
PMP22	5.0854814108162	0.000538352262497254	4.07794604625902	0.00195386983180541	-1.00753536455718	0.191522558778634
RUNX1	2.25458099283348	0.000538352262497254	3.15743244846086	5.30426219966406e-05	0.90285145562738	0.061358616953694
SLC7A2	1.47702327273314	0.000540966634014033	1.2459432096383	0.000929734533121052	-0.231080063094844	0.482821295758065
ATP2B4	-1.41231905412532	0.00055341335154206	-1.24814326816715	0.000708707579353152	0.164175785958172	0.622875846919043
PLXND1	-1.89328145752208	0.00055341335154206	-1.3733079010411	0.00205547790836831	0.519973556480975	0.210885936026965
ITGA9	1.64883785746953	0.00055538858064782	1.87094531971238	0.000170797605108014	0.222107462242844	0.540577446094655
SYT2	-2.44717385122899	0.00055538858064782	-3.88095224226813	4.70707515191531e-05	-1.43377839103915	0.0503182759978373
SYT4	2.02105275334959	0.00055538858064782	1.92503430837232	0.000476830199997507	-0.0960184449772676	0.855318960452288
TPH2	2.96709775237408	0.00055991719380942	2.28600547935759	0.00159783040898946	-0.681092273016493	0.243461331884391
CCND1	-1.23341039566671	0.00055991719380942	-1.41380465582122	0.000170797605108014	-0.180394260154512	0.527359136158778
HES1	-2.05490877750645	0.00055991719380942	-2.6277867779353	0.000100942356077946	-0.572878000428853	0.228752905383985
BEST1	2.54094109181006	0.000563064701623218	5.58216783420668	6.19726423997945e-06	3.04122674239661	0.000628430157474759
LOC100506178	-1.86175108657842	0.000563064701623218	-1.4589057282441	0.0011379989275326	0.402845358334319	0.364046892484855
MAP2K1	1.17685999705385	0.000563357420676932	0.713552993676227	0.00613775986379337	-0.463307003377623	0.0895306427887404
AK4	-2.27113664924212	0.000563915572075166	-1.09482011991423	0.0147679796271645	1.1763165293279	0.0358020583994013
DYRK3	1.27146500973779	0.000571824480736747	0.689962587075649	0.0110391581664155	-0.581502422662144	0.0548641053303625
RASD1	2.15242353415377	0.000587953634720338	1.84324387075943	0.000914035147348417	-0.309179663394342	0.525159293510579
IL17RD	-1.29300270447426	0.000588952748194287	-0.872278987958015	0.00349462383686257	0.420723716516241	0.154164573857061
LPIN2	1.25144518267103	0.000590201493213777	1.19765988401791	0.000509164037580239	-0.0537852986531161	0.87388790049002
LZTFL1	1.91451460683484	0.000590201493213777	1.65083896054024	0.00090521696286883	-0.263675646294593	0.543916814685462
CCDC149	1.2152339592718	0.000598003117585954	0.537052731058772	0.0290574152249636	-0.678181228213029	0.0276037067716249
YARS	1.484916050585	0.000598696730107789	1.2610783170688	0.00101040775795556	-0.223837733516198	0.513904443267549
TSC22D3	2.38901692036838	0.000603765632637118	2.62097649326105	0.000241420342891578	0.231959572892669	0.668701706591674
GTPBP2	1.12697329970547	0.000609534951923564	1.8611997506204	2.35739128363502e-05	0.734226450914924	0.01482915130513
LOC101928403	-2.18476862880187	0.000620100454277565	-0.583974518402427	0.0936059583205979	1.60079411039944	0.0109336388476969
EFNB3	-1.52359023271968	0.000633043122890574	-0.39540315805564	0.160068569586256	1.12818707466404	0.00905738797752369
FAM46C	-2.43728743105122	0.000633043122890574	-2.27486223973553	0.000512910677795997	0.162425191315695	0.817862205255162
ATP2A2	1.21117974513413	0.000639793945100741	0.291132874220685	0.200935381953571	-0.920046870913443	0.00836482211481419
HOXB9	1.25716911690838	0.00064473148297733	0.568634452151494	0.0272813348471707	-0.688534664756891	0.0314018506972695
MIA2	1.49428303735116	0.000651456550437478	1.93943939083686	0.000100942356077946	0.445156353485699	0.18341017219105
STARD5	1.78913355541139	0.000651456550437478	0.881097935323167	0.020914515968761	-0.908035620088226	0.0357386309750036
LINC00622	3.1029225614606	0.000665300887939567	3.20383756622894	0.00034573943579376	0.100915004768336	0.886577861319516
