Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Eya1	2098	1993	1921	2743	9829	2386	2072	3570	2069
Msc	0	0	0	0	0	0	0	0	0
Trpa1	1	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0
Terf1	1566	1822	1343	3577	12270	2546	1602	2911	1375
Sbspon	0	0	0	0	0	0	0	0	0
4930444P10Rik	1	0	0	4	8	3	0	3	3
Rpl7	14049	18896	11096	20404	82294	17888	8856	33192	15266
Rdh10	290	283	260	772	2340	519	261	765	376
Stau2	994	1138	918	1450	6258	1333	1090	2338	1113
Ube2w	3189	3367	2504	4656	17876	3796	1921	6104	3320
Tceb1	4013	4385	2445	4278	19534	4548	1840	6525	3464
D030040B21Rik	3	6	2	7	27	7	0	2	3
Tmem70	1218	1323	1113	1922	7516	1642	561	2468	1212
Ly96	178	184	127	197	845	198	216	357	232
Jph1	0	2	1	3	0	1	0	6	1
Gdap1	5087	5161	4212	6579	23484	5270	3293	7215	3739
Pi15	2	1	1	4	8	3	3	3	0
Gm16070	0	0	0	0	2	3	0	0	0
Crispld1	0	4	0	1	5	3	0	1	1
Crisp4	0	0	0	1	4	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0
Defb41	2	9	3	5	17	3	0	4	1
Gm15386	0	0	0	0	0	0	0	0	0
Tfap2d	0	1	0	1	0	0	0	0	1
Tfap2b	0	0	0	1	15	0	0	2	0
Pkhd1	1	4	3	6	47	8	0	9	9
4930486I03Rik	0	0	0	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	10	27	4	2	4	5
Il17f	8	8	7	36	116	22	1	19	12
Mcm3	10470	11656	9774	15157	62327	13779	5742	21766	9725
6720483E21Rik	21	24	15	24	61	14	4	10	17
Paqr8	414	390	356	287	1134	320	207	528	313
Efhc1	14	29	16	32	145	7	6	15	13
Tram2	101	104	80	55	306	74	45	131	56
Tmem14a	86	94	75	123	479	105	28	104	55
Gsta3	3	4	1	9	30	5	3	0	2
Gm4956	0	0	0	0	0	0	0	1	0
Khdc1a	0	0	0	0	0	0	0	0	0
Khdc1c	0	3	0	0	0	0	2	0	0
Khdc1b	0	0	0	0	0	0	0	0	0
Kcnq5	0	0	1	6	22	0	0	4	0
Rims1	0	1	4	1	5	0	0	1	1
4933415F23Rik	0	0	0	0	0	0	0	0	0
Mir30a	2	0	0	0	0	0	0	0	0
Mir30c-2	0	0	2	2	1	1	0	3	0
Ogfrl1	157	196	132	228	607	111	123	206	96
B3gat2	0	2	2	1	13	1	1	4	5
Smap1	1722	1962	1627	4025	13400	2934	1951	4161	1982
Sdhaf4	686	964	544	428	2578	532	145	973	456
Fam135a	2831	2808	2711	5525	26375	5760	3370	9138	4618
Col9a1	2	0	1	0	4	2	3	6	3
Col19a1	0	2	0	1	0	0	0	0	0
Lmbrd1	2032	2067	1868	4039	16025	3551	1816	5547	2625
Adgrb3	685	733	636	801	3941	788	321	969	471
Gm20172	0	2	1	1	1	1	0	0	2
4931408C20Rik	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0
Phf3	8447	8601	7687	13972	59239	13595	10778	17602	8985
Ptp4a1	393	431	342	865	2691	525	136	624	334
Gm13363	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	1	0	0	0	0	0
Khdrbs2	128	159	139	171	791	207	126	397	177
Gm9839	0	0	0	0	0	1	0	0	0
Gm5415	0	3	1	1	0	0	3	0	1
Prim2	1703	2017	1525	3184	12439	2607	1172	3351	1599
1700001G17Rik	71	74	35	113	396	74	26	88	54
Rab23	2464	2738	1976	3351	13187	3013	1766	5090	2384
Bag2	1326	1412	1240	1473	5741	1359	917	2228	1042
Zfp451	2385	2674	2411	3918	14775	3396	2269	4896	2666
Gm15455	11	10	7	10	94	28	12	24	24
Bend6	462	462	382	554	2232	474	190	371	210
Dst	15194	14403	16431	15001	69649	18872	15373	29184	17776
Mir6896	0	0	0	0	0	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0	0
Ccdc115	2037	2276	1675	3173	10523	2283	1333	3555	1750
Imp4	2552	2569	2003	3195	15464	3466	1948	5502	2601
Ptpn18	6	22	5	8	73	19	2	12	7
Prss39	0	1	0	0	0	0	0	2	0
Cfc1	0	0	0	1	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0
Amer3	35	45	50	49	296	68	36	91	38
AA619741	0	0	0	0	0	0	0	0	0
Arhgef4	115	140	127	189	925	189	102	257	146
Fam168b	5536	5738	4729	9202	41560	9155	4112	12022	6161
Plekhb2	6139	6572	5386	5160	23012	5245	2239	8729	4302
Hs6st1	1539	1614	1408	1985	6785	1526	1121	3262	1392
Uggt1	9626	10287	8980	15682	67715	15815	9613	25814	12391
Mir6897	0	0	1	0	0	0	0	4	0
Neurl3	13	9	5	24	95	16	10	13	12
Arid5a	100	127	97	368	1419	312	309	876	456
Kansl3	4186	4543	3764	7854	32435	6734	3167	10997	5005
Mir6898	0	0	0	0	0	0	0	0	0
Fer1l5	1	2	0	0	11	1	2	1	2
Lman2l	1173	1375	1102	1347	6896	1463	647	2532	1140
Cnnm4	683	682	633	892	3751	897	568	1776	847
Cnnm3	940	962	749	757	3217	775	354	1632	754
Ankrd23	164	212	160	351	1330	228	169	541	230
Ankrd39	263	295	214	294	1529	319	97	623	325
Sema4c	1285	1325	950	1067	4318	976	394	1771	803
Fam178b	4	1	5	4	8	3	0	0	0
Cox5b	4935	5835	2603	3853	20317	5024	3201	10402	5320
Actr1b	4556	4794	4211	7043	26158	5648	2612	9336	4073
4933424G06Rik	5	3	1	5	11	7	0	3	3
Zap70	1	0	2	5	6	1	0	3	0
Tmem131	6943	6691	7090	8991	39889	9376	7014	12090	6489
Cnga3	3	4	1	9	24	3	3	8	5
Inpp4a	2197	2611	2054	2171	10105	2399	1046	3546	1817
Coa5	5353	5603	4515	5082	22702	4984	3282	9238	4734
Unc50	1097	1368	960	1553	6738	1585	635	2757	1203
Mgat4a	509	603	463	600	3250	681	356	1284	602
4930594C11Rik	2	5	1	2	22	6	9	3	10
2010300C02Rik	3	2	2	1	1	5	1	0	2
Tsga10	192	174	127	197	834	180	117	227	133
Lipt1	195	276	178	432	1543	326	107	410	238
Mitd1	389	403	333	720	2441	500	291	713	408
Mrpl30	1866	2437	1438	2366	11134	2464	963	4745	2155
Lyg2	0	1	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0
Txndc9	2904	2966	2299	4846	17489	3949	2521	5838	3003
Eif5b	9451	9379	7829	19324	52412	11923	12475	16122	8569
Rev1	2457	2746	2345	4648	19359	3753	1898	5878	2762
Aff3	6	3	5	8	60	14	6	29	14
Lonrf2	382	319	278	540	2372	528	390	1032	454
Chst10	1643	1724	1429	1917	7204	1478	734	2803	1254
Nms	0	0	0	0	0	0	0	0	0
Pdcl3	1638	1811	1274	2580	10165	2277	1337	3362	1644
Mir6349	0	0	0	0	0	0	0	0	0
Npas2	0	6	1	0	6	0	1	1	0
Rpl31	5906	8345	2970	4541	28125	6288	3403	14089	6585
Tbc1d8	157	197	189	185	682	149	86	307	123
Cnot11	1795	1680	1557	2835	8702	2078	1387	3800	1714
Snord89	37	54	17	14	88	18	17	22	21
Rnf149	1884	2001	1822	3109	8519	1752	1432	3120	1455
Creg2	3	6	3	6	16	1	2	5	4
Rfx8	0	0	0	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	2	2	0
Map4k4	6702	7313	5839	10033	45044	9769	7664	15640	7454
Gm16894	55	43	32	35	192	41	28	44	35
Il1r2	111	119	104	171	677	128	40	187	92
Il1r1	28828	29837	29039	25950	95510	23414	18861	45289	24468
Il1rl2	2	0	0	0	2	1	3	0	0
Il1rl1	1	0	0	3	5	0	2	0	0
Il18r1	0	0	2	0	0	0	0	2	0
Il18rap	0	3	1	0	1	2	0	0	0
Slc9a4	0	0	0	1	2	0	0	0	0
Slc9a2	0	0	0	0	0	0	0	0	0
Mfsd9	144	138	140	73	278	59	36	103	45
Tmem182	0	0	0	0	1	0	0	0	0
4930448I06Rik	0	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	1	0	0	0	0	0
2900092D14Rik	0	0	2	0	0	0	1	0	3
Pantr2	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	1	0	0
Mrps9	1174	1441	1034	2821	9677	1995	993	2651	1312
Gpr45	2	3	0	4	11	1	2	1	3
Tgfbrap1	2787	2911	2599	4144	17744	3809	2559	6032	3067
AI597479	2530	2727	2069	3206	14124	3157	1021	3788	1831
Fhl2	1	0	0	1	2	0	2	2	0
Nck2	407	462	434	567	2400	464	228	795	368
1500015O10Rik	0	0	0	0	0	0	0	0	0
Uxs1	932	1023	883	1399	4922	1057	781	2104	956
Tpp2	5317	5217	5059	7893	31982	6999	3944	7513	4060
Mettl21c	0	0	0	1	3	1	0	0	0
Tex30	1886	2103	1328	2718	10905	2413	853	3398	1723
Kdelc1	1134	1445	1119	1798	8069	1752	955	2949	1402
Bivm	2088	2472	1989	3563	14683	3038	1663	4243	2164
Ercc5	1171	1508	1284	2310	8699	1756	932	2272	1185
Mettl21e	0	0	1	0	0	0	0	0	0
Gulp1	0	0	0	0	0	0	0	0	0
4930521E06Rik	0	0	0	0	0	0	0	0	0
Col3a1	1	0	0	0	5	0	0	0	0
Col5a2	0	1	0	0	0	0	1	1	1
Wdr75	2772	2956	2340	6364	28553	5582	2305	7640	3676
Slc40a1	173	168	128	113	384	66	41	176	50
Stk-ps2	0	0	0	0	0	0	0	0	0
Dnah7b	43	38	32	63	279	71	23	52	27
Slc39a10	2132	2232	1867	1495	6482	1424	771	1573	851
Mir6350	0	0	0	0	0	0	0	0	0
Tmeff2	30	28	22	46	219	25	25	82	28
9330175M20Rik	0	0	0	0	0	0	0	0	0
Sdpr	0	1	0	2	4	0	0	2	0
Nabp1	446	493	390	562	2233	505	292	867	366
Myo1b	5922	6523	5632	8770	37321	8406	3910	9637	5351
Stat4	6	15	7	8	63	17	0	13	0
Stat1	1938	1925	1638	2812	11227	2423	1337	3170	1532
Gls	7753	7963	7072	12227	49930	11060	5924	16436	8299
Nab1	2705	2899	2529	4696	16414	3803	2954	5739	2783
Tmem194b	396	460	369	481	2102	493	186	732	372
Mfsd6	2448	2431	2145	5100	19275	3880	3766	7040	3394
Inpp1	324	373	248	463	2043	444	194	757	307
Hibch	662	796	581	1361	5047	1029	548	1444	737
1700019D03Rik	5	5	4	9	22	23	4	22	13
Mstn	0	0	0	1	0	0	2	0	0
1700019A02Rik	3	0	1	7	3	3	4	4	0
Pms1	570	683	504	942	4074	753	436	889	507
Ormdl1	1855	1893	1423	2657	10471	2069	1016	3376	1654
Osgepl1	831	948	728	1922	7549	1333	694	1574	708
Asnsd1	2055	2372	1741	3416	13419	2848	1405	4243	2109
Dnah7a	0	0	0	1	2	0	1	3	0
Stk17b	2144	2131	1809	3498	13120	2701	1301	3796	1914
Hecw2	2	1	3	16	77	24	13	19	6
Mir7681	0	0	0	0	0	0	0	0	0
Ccdc150	33	19	19	78	258	50	20	38	40
Gtf3c3	1751	2030	1737	2247	10891	2322	1410	3798	1908
Pgap1	5240	5116	4519	4169	19521	4823	2229	5954	3323
Ankrd44	2003	1826	1814	2043	8355	2018	1309	2803	1384
Sf3b1	21686	23400	18440	23578	96139	20735	10520	26078	13829
Coq10b	947	1116	761	1841	7167	1574	442	1726	852
Hspd1	42561	42077	33691	59754	180038	42895	46527	93359	48329
Hspe1	5087	6235	2947	5572	26371	6129	4234	12570	6350
Mob4	2716	2942	2376	5702	20123	4200	1709	4765	2389
Rftn2	2	2	0	0	0	0	0	0	0
Mars2	738	685	581	690	3337	830	440	1284	649
Boll	0	0	0	0	0	0	0	0	0
Plcl1	0	0	0	3	14	3	1	5	2
9130227L01Rik	0	0	0	0	7	0	0	1	0
1700003I22Rik	0	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0	0
Satb2	1216	1075	1104	1820	7007	1558	1500	2621	1270
9130024F11Rik	90	107	67	195	654	127	88	151	48
BC055402	1	0	0	0	3	0	0	2	2
4930558J18Rik	143	132	125	156	810	157	103	215	103
1700066M21Rik	1885	1702	1704	3827	12301	2693	1632	4072	2179
Tyw5	394	475	299	1015	4117	850	283	898	456
9430016H08Rik	456	509	392	955	3609	803	253	1159	509
Spats2l	3	4	1	5	13	5	4	3	1
Kctd18	538	540	460	936	3303	738	308	1028	523
Sgol2a	4032	4317	3713	6086	21248	4414	2957	4672	2520
Aox1	298	368	319	247	1328	230	104	339	143
Aox3	0	0	0	1	0	0	1	0	0
Aox4	21	32	26	31	205	56	19	59	17
Aox2	6	4	6	5	34	4	1	11	4
Bzw1	17298	16168	13420	18454	71335	16092	8457	30223	15165
Clk1	4012	4698	3449	6913	25782	5351	3127	7786	4153
Ppil3	427	573	338	744	3260	691	329	1109	530
Nif3l1	803	849	711	1015	4174	896	391	1593	886
Orc2	5158	5266	4397	13473	54256	11502	5508	15741	7845
Fam126b	4006	3844	3693	5048	18122	4069	1957	4861	2590
Ndufb3	3246	4109	1878	2207	10826	2724	1195	5168	2685
Gm20257	13	8	7	20	59	6	6	12	8
Als2cr12	0	1	0	0	5	0	2	0	0
Cflar	1266	1494	1058	2880	11897	2760	1058	2488	1169
Casp8	19	14	15	20	76	12	8	50	9
Trak2	5582	5166	4549	6243	25908	5874	4674	10679	5389
Stradb	492	645	484	719	3678	698	152	792	378
Als2cr11	0	0	0	0	2	3	0	3	0
Tmem237	1260	1298	1055	1696	6774	1347	784	2330	1117
Mpp4	6	7	1	18	82	10	10	20	13
Als2	2972	2946	2609	3248	14180	3038	2010	5245	2422
Cdk15	188	198	139	223	864	194	97	377	198
Fzd7	92	92	54	96	340	81	43	119	61
Gm973	2	0	0	0	6	1	0	0	0
Sumo1	4961	5478	2982	6258	24630	5233	2865	7606	3695
Nop58	9596	10042	6894	31071	109193	23500	12513	26990	13013
Snord70	6	5	9	3	20	3	2	5	4
Snord11	7	4	3	4	32	1	0	7	1
Bmpr2	4365	3724	4061	4597	20332	4845	4063	6792	3480
Fam117b	2398	2559	2299	3047	14021	3034	1155	3078	1607
Ica1l	2	1	2	4	19	8	2	0	2
Wdr12	2198	2226	1733	3568	14885	3136	1918	4896	2426
Carf	1145	1312	1073	1452	6199	1430	663	1558	826
Nbeal1	3683	3412	3343	3246	23191	5641	2599	5995	3769
Cyp20a1	1105	1288	977	1888	8646	1774	946	3711	1664
Abi2	5438	5287	4511	5654	23414	5475	2938	7678	3920
Raph1	1953	1706	1878	2371	9801	2277	2274	3832	2117
Cd28	0	1	0	1	0	2	0	2	0
Ctla4	0	1	0	0	8	5	0	0	0
Icos	1	0	0	0	5	0	2	0	0
9530026F06Rik	0	0	0	0	4	0	0	0	0
Pard3b	4	4	1	6	31	20	4	12	12
Nrp2	2847	2992	3047	2158	9551	2651	1691	3385	1984
4930487H11Rik	0	0	0	0	0	0	0	1	0
Ino80d	5153	4546	4349	5002	23156	6008	3198	7664	4519
Ino80dos	106	96	87	213	624	144	49	130	59
Ndufs1	9264	10207	7993	12873	46708	10669	6266	16710	8785
Eef1b2	3482	5198	3099	7455	28724	6011	2439	10198	4790
Snora41	16	17	6	16	50	5	8	16	15
Gpr1	66	46	35	40	177	28	14	57	27
Zdbf2	60334	48941	46896	57341	251079	58987	31593	59047	33329
Adam23	1973	2200	1889	2081	8433	1750	1303	2980	1384
Dytn	0	0	0	0	0	1	0	0	1
Mdh1b	20	13	7	31	123	15	4	24	12
Fastkd2	1515	1478	1176	2276	9221	2019	1175	3587	1946
4933402D24Rik	0	0	0	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0	0	0	0
Mir1958	0	0	0	0	0	0	0	0	0
Klf7	556	612	550	954	3025	651	552	808	385
Mir6899	0	0	0	2	0	0	0	0	0
Creb1	5337	5346	4604	7140	28328	6220	2843	6255	3412
Mettl21a	837	1179	792	847	4157	894	247	1367	681
2810408I11Rik	378	449	267	690	2523	523	170	908	450
Ccnyl1	1011	952	845	1373	4716	1153	635	1767	901
Fzd5	582	617	467	649	2727	629	290	1034	532
Plekhm3	1261	1342	1135	1384	7145	1511	772	2603	1148
Akr1cl	0	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0	0
Crygc	1	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0	0
D630023F18Rik	176	251	216	221	955	196	31	55	38
Idh1	2707	3178	2296	3423	13034	2910	1811	4747	2488
Pikfyve	5326	4812	4662	7782	33213	7571	4755	11226	6337
Pth2r	0	1	1	10	25	6	1	0	2
Crygf	0	0	0	0	0	0	0	0	0
Map2	11809	12842	10787	15541	68838	14308	7464	13520	6987
Unc80	13768	13385	13508	12644	59590	14349	9037	19026	10499
Rpe	2639	2606	2221	4242	14376	2979	1631	4352	2113
Kansl1l	991	963	937	2026	7689	1498	1079	2045	1080
Acadl	1342	1682	1273	1560	5522	1306	1069	3059	1365
Myl1	0	0	1	0	1	0	0	0	0
Lancl1	2506	2875	2181	3103	14035	3097	1175	5309	2491
Cps1	17	10	16	6	37	13	7	28	15
Erbb4	0	1	1	0	5	0	0	1	0
Ikzf2	269	293	271	402	1793	402	119	331	167
Spag16	0	1	1	0	5	0	1	0	0
Vwc2l	0	0	0	0	0	0	0	0	0
Bard1	2091	2158	1662	2134	11327	2257	1090	2794	1484
Abca12	0	0	0	4	20	10	6	14	3
Atic	3922	4217	3568	6973	25646	5254	2620	8295	4120
Fn1	10	10	17	19	59	12	15	20	15
Apol7d	0	0	0	0	1	0	0	0	0
Gm8883	0	0	0	0	0	0	0	0	0
4933417E11Rik	0	0	0	1	7	0	0	0	0
Mreg	2009	2096	1708	2954	9952	2175	1263	3870	1678
Pecr	294	430	287	530	2364	494	241	825	350
Tmem169	419	498	394	780	2612	524	288	786	331
Xrcc5	1919	2176	1652	3371	12897	2673	1370	4337	2115
March4	581	712	565	690	2504	571	562	926	431
Smarcal1	1608	1866	1461	2036	8504	1882	928	2615	1256
Ankar	0	7	1	4	4	0	2	3	0
Rpl37a	7248	10230	3138	3306	26576	7005	1479	14193	7318
Igfbp2	0	0	0	0	0	3	0	0	0
Igfbp5	127	166	110	133	465	154	103	249	173
Tnp1	0	0	0	2	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0
Pinc	0	0	0	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0	0	0	0
6030407O03Rik	0	1	0	2	0	0	0	0	0
Mir6351	0	0	0	0	0	0	0	0	0
Tns1	8	4	13	16	51	13	6	15	7
Rufy4	0	2	0	5	11	4	4	7	1
Cxcr2	0	0	0	2	1	0	1	1	0
Cxcr1	0	0	0	0	0	1	0	0	0
Mir1928	0	0	0	0	0	0	0	0	0
Arpc2	6630	7490	5727	12401	39445	8453	5334	12723	6057
Gpbar1	0	0	1	0	0	0	0	0	0
Aamp	5008	5626	3976	5575	23968	5332	3189	9093	4345
Pnkd	1711	2089	1514	1627	6918	1607	751	3337	1522
Tmbim1	282	439	296	614	3311	595	197	1268	521
Catip	6	3	5	8	22	1	3	5	0
Slc11a1	2	3	1	1	4	1	2	2	0
Ctdsp1	1697	1856	1758	2518	9870	1962	1004	3858	1798
Mir26b	0	3	0	0	3	0	0	2	1
Vil1	1	13	7	9	66	15	5	11	7
Usp37	5770	6150	5288	8118	38793	8240	4185	10424	5343
Rqcd1	6237	6333	4981	8905	38339	8643	4199	13212	6431
Plcd4	1	0	4	7	45	1	4	19	11
Zfp142	2951	2812	2732	3717	16078	3793	2636	6224	3021
Bcs1l	1023	1235	919	1433	5654	1179	503	1819	817
Rnf25	776	981	760	1437	5396	1034	702	1956	870
Stk36	130	143	101	135	491	131	45	196	79
Ttll4	1400	1437	1382	1191	6643	1569	936	2818	1379
Cyp27a1	43	67	55	92	485	78	34	109	46
Prkag3	0	0	1	0	3	0	1	2	0
Wnt6	10	5	3	5	10	0	0	1	3
Wnt10a	1138	1324	1126	1338	4841	1057	380	1678	648
Cdk5r2	1602	1478	1575	1233	4411	967	690	1916	908
Fev	2227	2120	2447	2855	7955	1701	2678	5075	2128
Cryba2	1185	1526	1003	1330	6150	1404	341	2100	886
Mir375	0	0	0	0	0	0	0	0	0
Ccdc108	19	9	11	9	48	11	12	17	12
Ihh	5	7	5	5	42	7	3	11	7
Nhej1	68	68	70	125	463	98	50	186	65
Slc23a3	7	11	10	29	68	13	10	58	35
Cnppd1	1056	1120	961	2196	10390	2364	1226	5868	2708
Fam134a	5276	5994	5136	5971	22238	5019	2494	10781	4543
Zfand2b	459	471	398	1023	3876	853	235	1236	561
Abcb6	3228	3562	3144	4279	16355	3803	2028	6955	3240
Atg9a	1897	2104	1787	1780	8904	1945	807	3559	1609
Ankzf1	1491	1683	1228	2124	7900	1754	740	2881	1419
Glb1l	287	319	257	274	1256	260	177	488	226
Stk16	2136	2447	1947	2172	9556	2077	713	3886	1688
Tuba4a	4966	5663	4315	3479	12215	2687	1940	5448	2588
A630095N17Rik	1	0	2	3	5	2	1	0	0
Dnajb2	1926	1947	1277	2657	11964	2851	952	3665	1874
Ptprn	27215	31284	26415	28555	113369	24483	11868	38730	16485
Resp18	3141	4634	2627	2993	13560	2877	916	4714	2102
Dnpep	790	1029	825	1208	5210	1245	440	1978	915
Des	5	5	0	6	25	10	0	3	0
Gm15179	3	2	0	0	3	1	2	0	0
Speg	78	87	68	58	256	50	41	93	70
Gmppa	1081	1313	1229	2145	7710	1801	685	2816	1281
Asic4	0	0	0	0	0	0	2	2	1
Chpf	1039	1129	1134	1236	4468	1050	541	2403	936
Tmem198	269	276	253	534	2459	530	120	772	329
Obsl1	358	469	284	423	1582	389	159	536	248
Inha	8	15	11	17	45	16	1	7	5
Stk11ip	1359	1317	1116	1330	5622	1111	612	2000	967
Slc4a3	2886	3039	2595	2856	11563	2665	1474	5604	2523
Gm17751	0	0	0	0	0	0	1	1	0
Mir6343	0	0	0	0	0	0	0	0	0
Epha4	8	16	13	9	54	15	3	7	7
Mir6352	0	0	0	0	0	0	0	0	0
Pax3	324	383	271	598	2421	532	211	474	282
Sgpp2	702	1000	827	826	4570	904	227	829	407
Farsb	3990	4425	3358	9428	39402	8347	3516	10472	5241
Mogat1	0	1	0	1	4	0	0	0	0
Acsl3	1362	1632	1476	3294	11423	2323	1875	2982	1445
Utp14b	1181	1015	1020	1518	6800	1566	1401	2322	1159
Kcne4	0	0	0	1	0	0	0	0	0
Scg2	52633	59161	50352	62666	177992	43868	55440	88472	47164
Ap1s3	845	986	867	1686	5134	1163	773	1402	818
Wdfy1	2102	2195	1659	3285	12387	2982	1844	4814	2647
Mrpl44	717	786	632	1041	4288	873	319	1777	804
Serpine2	10	3	1	8	30	0	2	4	6
Fam124b	0	0	0	3	9	2	0	8	2
Cul3	8868	8103	7345	18228	62028	13531	9394	18021	9586
1700016L21Rik	0	0	0	0	0	0	0	0	0
Dock10	0	1	1	0	0	3	0	3	0
Nyap2	105	162	138	71	460	122	57	86	59
Mir6344	0	0	0	0	0	0	0	0	0
Irs1	1898	1830	1621	1741	7463	1830	1155	2793	1459
Rhbdd1	1812	2343	1535	4974	26244	5616	2772	8341	3684
Col4a4	8	7	2	1	24	4	21	34	6
Col4a3	0	2	4	1	0	1	0	3	4
Mff	3728	4630	3471	6219	22417	4975	2404	8799	4128
Tm4sf20	1	3	0	0	9	2	0	0	0
Agfg1	6960	6284	6558	9138	36629	7806	4146	10813	5224
Slc19a3	0	0	0	9	17	8	13	17	5
Ccl20	0	0	0	0	0	0	0	0	0
Daw1	1	0	2	2	3	0	0	2	1
Sphkap	20766	21462	18113	17671	72529	15421	9547	20063	9484
Pid1	471	510	442	472	2092	456	184	534	328
Mir6353	0	0	0	0	0	1	0	0	0
Dner	7765	7163	6612	8751	27433	6644	3374	9352	5277
Mir5126	0	0	0	0	0	1	0	0	0
Trip12	17109	17950	15558	20343	98506	21456	11049	25108	13243
Fbxo36	148	162	84	210	859	145	51	167	80
