Geneid	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Arhgef4	155	106	141	108	87	91	152	43	91
Fam168b	4778	4754	4725	5696	2014	2892	6112	5052	6452
Plekhb2	5626	6125	6040	3513	1322	2648	3836	2918	3971
Hs6st1	3466	4010	3791	3379	1139	2233	3891	3335	4166
Uggt1	17780	16945	16377	18562	6389	10977	27067	20949	24883
Mir6897	0	1	8	0	0	0	0	11	2
Neurl3	80	114	108	165	98	76	234	209	274
Arid5a	525	495	491	1306	525	820	1701	1454	1796
Kansl3	2279	2002	2154	3265	1058	2213	3069	2459	3239
Mir6898	0	2	0	0	0	0	0	0	2
Fer1l5	8	3	5	20	129	104	24	13	6
Lman2l	1651	1495	1311	1402	562	892	2131	1534	2074
Cnnm4	1625	1530	1393	1132	416	734	1727	1457	1596
Cnnm3	1129	1054	1211	861	340	462	1207	774	1207
Ankrd23	149	109	130	169	80	251	242	110	143
Ankrd39	271	224	252	225	126	165	302	259	244
Sema4c	924	806	873	611	249	365	579	452	567
Fam178b	3	8	9	3	63	27	11	0	2
Cox5b	2134	2599	2194	1594	614	961	2424	2234	2721
Actr1b	4141	4508	3993	3926	1462	2536	4464	3949	4538
4933424G06Rik	3	5	2	7	32	8	4	0	2
Zap70	2	2	1	11	85	33	14	8	5
Tmem131	7954	7031	7141	7947	2415	4309	8989	6127	7162
Cnga3	0	5	3	3	48	78	30	31	33
Inpp4a	5121	4829	5056	3921	1362	2181	4029	2861	3610
Coa5	4367	4406	4434	3444	1243	2341	5664	4258	5849
Unc50	1670	1702	1702	1581	554	1045	2007	1675	2060
Mgat4a	2409	2154	2191	1864	634	1336	2020	1828	2268
4930594C11Rik	46	29	30	23	34	1	54	20	24
2010300C02Rik	39	25	58	47	54	31	57	52	46
Tsga10	106	79	114	53	53	48	114	91	113
Lipt1	110	141	149	153	78	240	175	120	203
Mitd1	366	282	293	299	115	142	334	370	299
Mrpl30	1085	1046	982	789	285	525	1142	1054	1286
Lyg2	0	0	2	0	21	0	2	0	0
Lyg1	0	0	0	1	18	0	2	0	0
Txndc9	3257	2967	3219	3208	1094	1955	3581	2940	3499
Eif5b	4849	3817	4386	4961	1573	2660	5391	4834	5508
Rev1	2944	2363	2520	2727	837	1752	2374	2272	2392
Aff3	167	167	199	173	162	194	134	80	112
Lonrf2	519	555	490	558	185	250	1088	841	893
Chst10	1002	1146	1108	703	253	338	527	436	536
Nms	0	3	6	2	7	0	0	4	0
Pdcl3	1387	1626	1424	1315	431	891	1452	1082	1711
Mir6349	0	0	0	0	3	0	0	0	0
Npas2	239	247	207	442	201	336	206	134	218
Rpl31	4565	4288	3917	2515	961	1745	4462	3873	4696
Tbc1d8	1815	1503	1537	1604	564	724	3265	2670	2638
Cnot11	2189	2466	2177	2677	810	1465	2949	2409	3116
Snord89	4	4	7	4	4	0	21	5	11
Rnf149	1080	1114	995	858	363	569	1365	919	1172
Creg2	27	40	54	11	48	0	12	20	15
Rfx8	0	0	0	0	40	67	1	0	1
Gm3646	0	0	0	0	4	0	0	0	0
1700066B17Rik	0	8	0	0	3	15	4	0	0
Map4k4	5187	4788	5241	5869	2087	3537	5937	4870	6275
Gm16894	94	50	70	52	38	39	86	46	57
Il1r2	41	37	29	48	31	0	47	53	87
Il1r1	47436	45114	42818	25076	8362	14852	23237	18430	24071
Il1rl2	10	4	6	1	18	0	10	0	3
Il1rl1	5	4	1	11	36	39	3	2	2
Il18r1	23	20	23	6	40	21	32	37	45
Il18rap	742	663	624	578	154	270	279	297	258
Slc9a4	0	8	3	10	15	77	3	0	2
Slc9a2	153	177	207	103	102	135	161	153	215
Mfsd9	70	82	91	41	47	37	91	92	116
Tmem182	0	0	0	0	20	0	8	0	3
4930448I06Rik	0	0	0	0	2	0	0	0	0
Pantr1	0	0	0	0	2	0	0	0	0
Pou3f3	1	0	0	3	17	0	3	0	1
2900092D14Rik	0	0	0	0	5	19	0	0	0
Pantr2	0	0	3	0	11	0	0	0	0
Dalir	0	1	0	1	8	0	1	0	0
Mrps9	837	748	793	953	348	455	938	711	908
Gpr45	218	353	316	183	130	200	200	175	256
Tgfbrap1	2801	2589	2672	2870	836	1681	2922	2207	2847
AI597479	1448	1119	1321	1366	437	724	1534	1054	1447
Fhl2	17	23	47	43	47	46	34	33	47
Nck2	1385	1363	1278	1241	381	666	1059	929	1180
1500015O10Rik	0	0	1	0	19	14	0	1	0
Uxs1	637	740	723	582	232	433	888	840	862
Tpp2	6074	4745	5166	6135	1866	3375	5449	4405	5221
Mettl21c	8	0	3	8	4	0	3	0	0
Tex30	1284	1309	1260	1378	384	711	1418	1292	1507
Kdelc1	499	494	517	580	163	305	944	705	731
Bivm	1327	1252	1361	1116	441	747	1591	1159	1469
Ercc5	1259	1082	1128	1547	403	797	1358	1002	1406
Mettl21e	0	0	0	0	5	0	0	0	0
Gulp1	41	70	72	32	26	70	49	66	66
4930521E06Rik	0	0	0	0	0	0	0	0	0
Col3a1	0	7	0	10	47	8	8	4	0
Col5a2	6	5	0	4	40	45	9	8	5
Wdr75	1889	1435	1541	2490	750	1359	2867	2523	2982
Slc40a1	1464	1803	1428	815	338	475	796	650	946
Stk-ps2	0	1	0	0	13	25	0	0	2
Dnah7b	523	394	515	487	224	396	631	381	399
Slc39a10	2414	2535	2624	1070	467	782	1765	1318	1754
Mir6350	0	0	0	0	0	0	0	0	0
Tmeff2	262	280	282	252	88	164	441	340	427
9330175M20Rik	0	0	0	1	12	24	4	0	0
Sdpr	0	0	0	0	25	23	7	0	12
Nabp1	859	692	700	824	209	274	1387	1096	1125
Myo1b	3051	2559	2392	2958	979	1258	1669	1168	1584
Stat4	9	8	0	12	20	16	11	20	3
Stat1	2266	2260	2262	2026	751	1258	2408	1949	2556
Gls	5803	4493	5302	6674	2003	3882	6567	5109	6380
Nab1	2832	2736	2642	3903	1279	1930	2952	2227	2773
Tmem194b	781	513	667	641	220	380	740	357	508
Mfsd6	5075	4579	4800	4560	1746	2856	5664	4689	5724
Inpp1	743	596	640	676	249	410	531	557	513
Hibch	584	594	622	669	218	510	793	683	895
1700019D03Rik	142	162	163	175	66	34	268	228	240
Mstn	0	1	2	0	15	0	0	2	1
1700019A02Rik	16	7	3	10	5	7	11	0	7
Pms1	759	749	817	809	322	484	727	540	704
Ormdl1	1334	1098	1092	1319	323	668	1680	1237	1672
Osgepl1	874	570	657	778	268	500	869	613	787
Asnsd1	1996	1955	1995	1986	679	1480	2332	1894	2401
Dnah7a	42	48	43	68	117	117	74	32	61
Stk17b	1705	1686	1706	1842	638	1320	1597	1428	1557
Hecw2	595	486	417	619	233	246	762	504	515
Mir7681	0	0	0	0	1	0	0	0	0
Ccdc150	10	8	19	14	40	22	18	13	7
Gtf3c3	2519	2143	2017	2058	775	1118	2703	2041	2506
Pgap1	10885	10689	10000	8884	2833	5385	7621	5640	6611
Ankrd44	3102	2733	2772	2193	729	959	2037	1623	1932
Sf3b1	18396	14907	16865	16859	5408	9366	15715	12549	15371
Coq10b	1640	1421	1552	1798	505	878	1305	1251	1414
Hspd1	5764	5460	5751	5481	2111	2971	8989	8115	9894
Hspe1	1611	1477	1305	1042	356	785	2080	1461	1888
Mob4	4082	3523	3601	3893	1304	2327	3472	2939	3780
Rftn2	0	3	3	15	52	0	0	27	0
Mars2	546	302	392	464	128	361	459	417	494
Boll	0	0	2	0	26	0	0	5	0
Plcl1	903	761	794	757	310	543	1041	801	1166
9130227L01Rik	2	0	1	2	5	21	5	0	2
1700003I22Rik	0	0	0	0	3	0	0	0	0
Hsfy2	6	0	1	0	0	1	0	0	0
Satb2	595	547	668	446	178	463	568	611	680
9130024F11Rik	62	48	71	44	54	84	61	49	49
BC055402	0	2	0	6	25	0	2	0	5
4930558J18Rik	56	81	69	55	18	41	60	57	61
1700066M21Rik	1001	918	1018	1396	432	864	1597	1390	1445
Tyw5	594	403	466	647	226	451	677	630	679
9430016H08Rik	669	582	522	781	241	416	716	638	807
Spats2l	11	2	1	0	32	46	23	0	1
Kctd18	526	276	408	526	141	270	517	364	541
Sgol2a	3385	2874	3068	2811	853	1416	2016	1396	1791
Aox1	196	110	197	91	121	151	197	95	111
Aox3	8	21	14	8	47	61	16	35	7
Aox4	2	5	11	4	36	35	7	0	6
Aox2	10	6	9	15	91	95	17	5	5
Bzw1	13715	13058	12194	11597	3863	6939	12349	11049	14022
Clk1	6615	2529	5236	6953	1982	3402	7549	5607	5688
Ppil3	427	423	451	412	179	249	683	440	622
Nif3l1	611	612	662	538	202	446	781	644	861
Orc2	4003	3465	3275	5805	1873	2809	5102	4347	5208
Fam126b	4954	4317	4622	3990	1373	2325	4339	3406	4195
Ndufb3	939	1068	1017	502	215	445	693	719	902
Gm20257	102	101	95	84	32	54	127	94	143
Als2cr12	2	5	2	1	40	23	14	0	1
Cflar	1813	1820	1806	2462	977	1254	3030	2514	2925
Casp8	944	827	834	550	196	354	761	645	683
Trak2	6618	6131	6008	5899	1946	2827	7073	5332	6855
Stradb	655	598	659	712	220	417	770	458	675
Als2cr11	4	1	6	18	11	19	7	5	6
Tmem237	1378	1415	1292	1283	515	885	1686	1415	1708
Mpp4	46	35	34	45	21	24	61	40	62
Als2	3804	3374	3318	3644	1118	1637	2847	2379	2886
Cdk15	370	306	360	207	93	168	157	137	154
Fzd7	2175	2174	2119	1159	530	708	1366	964	1301
Gm973	3	5	13	9	63	53	23	5	7
Sumo1	2688	2679	2635	2197	889	1582	2123	1848	2508
Nop58	3777	3417	3235	6697	2041	3350	5973	5344	6598
Snord70	37	9	28	23	4	0	52	12	26
Snord11	6	17	19	18	12	24	38	21	18
Bmpr2	7021	6337	6644	5566	1740	3064	6211	4017	4986
Fam117b	2064	2136	2020	2728	937	1447	3083	2697	3131
Ica1l	163	177	187	206	92	136	188	183	199
Wdr12	597	554	554	790	274	358	976	948	965
Carf	1126	922	932	870	308	509	1147	711	1016
Nbeal1	3534	2687	3198	3044	993	1720	3639	2386	2942
Cyp20a1	417	551	524	496	168	317	939	686	909
Abi2	8944	8397	8294	7825	2489	4205	7862	6027	7238
Raph1	3866	3575	3602	3626	1156	1528	4422	3083	3480
Cd28	3	4	4	2	14	19	21	23	10
Ctla4	0	0	2	0	19	0	18	0	0
Icos	0	1	0	5	21	2	2	0	1
9530026F06Rik	0	0	0	6	18	0	0	0	0
Pard3b	624	639	506	744	246	476	2120	1315	1608
Nrp2	194	177	188	130	130	111	114	113	161
4930487H11Rik	0	0	0	0	8	31	0	0	0
Ino80d	6468	6057	6191	5143	1782	2822	6254	4785	4986
Ino80dos	251	225	270	192	61	66	215	139	182
Ndufs1	5257	4795	4952	4773	1714	2697	4944	4064	4901
Eef1b2	4016	4325	3942	2964	1153	2126	4909	4355	5794
Snora41	38	21	42	37	13	0	47	38	31
Gpr1	5	14	10	0	11	23	3	0	3
Zdbf2	11917	10096	11791	12802	3809	6141	9031	6745	7407
Adam23	1552	1447	1582	758	346	576	1000	780	840
Dytn	0	1	1	3	34	0	4	11	2
Mdh1b	20	21	14	30	11	29	29	16	37
Fastkd2	1293	1185	1189	1397	485	665	1949	1381	1697
4933402D24Rik	0	0	2	0	10	21	2	0	0
Gm13749	0	0	0	0	3	0	0	0	1
Mir1958	0	0	0	5	4	0	2	0	0
Klf7	774	655	739	650	219	478	710	555	604
Mir6899	0	1	1	8	1	0	4	0	0
Creb1	6740	5836	6325	5802	1660	3315	4587	3577	4527
Mettl21a	541	493	564	398	153	240	606	490	508
2810408I11Rik	202	192	182	303	104	69	236	165	234
Ccnyl1	1324	1042	1222	1264	398	692	1094	1017	1030
Fzd5	955	909	891	1051	338	631	1334	1131	1285
Plekhm3	1863	1962	1753	1872	678	1300	2205	1836	2035
Akr1cl	0	0	0	4	12	0	8	0	0
Cryge	0	0	0	0	14	0	0	0	0
Crygd	0	0	0	0	22	0	0	0	0
Crygc	0	0	0	0	11	0	0	0	0
Crygb	0	0	0	0	7	0	0	0	0
Cryga	13	7	2	5	8	0	13	0	1
D630023F18Rik	458	378	368	243	121	165	228	212	216
Idh1	2904	3082	2875	1703	675	1137	2476	1951	2266
Pikfyve	5520	4809	5439	5612	1848	2901	6734	4710	5769
Pth2r	2	2	1	3	26	4	17	2	0
Crygf	0	0	0	3	17	12	0	0	0
Map2	18901	18356	17402	17849	6052	9753	12550	9869	12070
Unc80	12182	13666	13324	8559	3338	5432	9469	7112	7762
Rpe	1928	1851	1954	1867	665	897	2264	1920	2359
Kansl1l	2576	2137	2301	2488	847	1158	1903	1487	1785
Acadl	2053	2136	1946	1501	520	903	1875	1351	2130
Myl1	0	3	1	3	12	10	5	1	0
Lancl1	2218	2316	1985	1900	684	1260	2614	1726	2768
Cps1	0	9	3	22	30	7	29	19	42
Erbb4	9	4	5	14	48	0	5	3	12
Ikzf2	434	454	455	348	154	192	504	377	442
Spag16	1	5	8	9	21	28	10	16	4
Vwc2l	0	2	3	3	12	17	0	0	0
Bard1	2886	2499	2331	2601	866	1332	1666	1190	1490
Abca12	21	8	1	12	32	91	21	15	14
Atic	1407	1417	1195	1230	490	671	2399	1689	2475
Fn1	299	326	309	220	251	145	339	237	239
Apol7d	0	0	0	0	2	19	0	0	0
Gm8883	0	0	0	0	9	0	2	0	0
4933417E11Rik	0	5	0	1	0	7	6	0	4
Mreg	3267	3187	2772	2073	686	1029	1717	1257	1895
Pecr	234	237	224	187	78	102	449	378	427
Tmem169	557	589	491	471	204	313	390	320	412
Xrcc5	2237	2327	2115	1782	659	981	2246	1951	2282
March4	2336	2361	2207	1526	560	1049	1135	768	1077
Smarcal1	2429	2331	2429	1872	717	1052	2000	1516	1795
Ankar	8	0	0	6	25	7	0	0	0
Rpl37a	3504	4192	3463	2305	893	1546	2878	2449	3220
Igfbp2	1	14	18	23	37	36	17	21	7
Igfbp5	177	298	329	71	111	91	122	150	181
Tnp1	0	3	0	0	15	0	4	0	3
1700027A15Rik	0	0	0	0	11	0	3	0	0
Pinc	0	0	0	0	9	0	1	2	0
D530049I02Rik	0	0	0	0	6	0	0	0	0
6030407O03Rik	0	2	1	1	23	31	8	0	0
Mir6351	0	0	0	0	1	0	1	0	0
Tns1	457	576	776	330	413	359	666	500	680
Rufy4	7	1	1	18	53	16	23	16	11
Cxcr2	0	1	0	0	46	0	5	0	0
Cxcr1	0	1	0	0	17	34	0	0	0
Mir1928	0	0	0	8	0	0	4	0	0
Arpc2	6056	7050	6232	5542	2149	3332	6253	5297	6599
Gpbar1	4	8	3	7	18	0	0	0	2
Aamp	2020	2386	2230	2110	796	1355	2858	2085	3043
Pnkd	793	968	1039	571	304	688	796	663	846
Tmbim1	148	140	196	180	104	170	413	275	367
Catip	4	2	15	21	25	14	21	5	3
Slc11a1	7	1	0	7	66	66	1	0	8
Ctdsp1	2157	2295	2141	2077	728	1317	2347	1741	2340
Mir26b	13	1	5	11	3	0	3	4	4
Vil1	24	26	11	22	70	16	31	39	26
Usp37	6428	5847	5922	7391	2211	3631	6401	5149	6343
Rqcd1	4214	3786	3702	4470	1258	2426	4319	3663	4451
Plcd4	3	4	2	18	53	31	56	27	22
Zfp142	2832	2494	2703	3823	1157	1894	4213	3309	3322
Bcs1l	610	564	508	563	193	362	575	532	604
Rnf25	1507	1243	1308	1657	551	771	1642	1535	1626
Stk36	354	338	360	312	216	283	598	445	413
Ttll4	1584	1205	1366	1399	461	705	1704	1155	1269
Cyp27a1	25	24	41	44	55	64	33	42	42
Prkag3	0	0	1	6	69	27	9	0	2
Wnt6	7	9	13	8	45	66	13	21	13
Wnt10a	17	12	17	11	53	18	11	29	11
Cdk5r2	3884	4255	3846	2192	821	1365	2571	1978	2446
Fev	179	150	123	106	55	125	279	296	331
Cryba2	2036	1801	1721	955	381	514	847	576	755
Mir375	44	58	43	42	9	48	26	37	39
Ccdc108	25	29	36	40	135	41	42	64	21
Ihh	0	3	7	4	59	15	17	0	10
Nhej1	90	75	74	87	43	31	95	91	75
Slc23a3	29	17	20	27	66	35	78	84	32
Cnppd1	1464	1156	1186	2029	602	1235	3338	2343	3113
Fam134a	5749	6123	5254	4533	1481	2873	5233	4140	5483
Zfand2b	576	484	512	762	274	479	603	564	608
Abcb6	946	902	916	846	464	597	2005	1532	1779
Atg9a	2552	2608	2544	2271	793	1846	2513	1916	2453
Ankzf1	864	635	848	854	347	551	923	755	796
Glb1l	817	576	760	853	283	331	835	629	672
Stk16	1885	1863	1874	1771	610	1132	2087	1679	2011
Tuba4a	3398	3345	2989	2027	664	1396	2220	1874	2152
A630095N17Rik	0	3	0	2	14	15	13	16	0
Dnajb2	1546	1380	1328	2187	716	1410	1928	1240	1900
Ptprn	40329	36490	40144	36780	11365	20972	41579	32283	38455
Resp18	8157	9133	8114	4674	2100	3332	3979	3055	3833
Dnpep	1907	1888	1766	1301	594	1005	1836	1352	1782
Des	0	2	1	5	63	46	7	0	3
Gm15179	0	2	5	5	14	0	1	0	1
Speg	897	682	863	788	576	660	692	593	430
Gmppa	3479	2903	2862	2916	1098	1932	3865	2915	3579
Asic4	3	9	6	7	69	19	22	12	1
Chpf	3079	3649	3196	2855	954	1945	3347	2712	3372
Tmem198	472	428	427	862	305	560	533	383	543
Obsl1	1134	1102	923	929	475	533	1731	1253	1442
Inha	637	389	481	605	198	295	600	500	419
Stk11ip	1793	1642	1643	1283	543	663	1934	1498	1860
Slc4a3	1900	1594	1689	1251	574	827	1812	1330	1852
Gm17751	0	4	0	6	1	22	1	0	0
Mir6343	0	0	0	0	0	0	0	0	0
Epha4	23	42	38	49	49	40	66	34	47
Mir6352	0	0	0	7	0	0	4	0	0
Pax3	0	0	1	6	46	15	13	0	0
Sgpp2	2267	2604	2613	1521	519	966	1052	778	1102
Farsb	2606	2592	2516	3685	1257	2311	4444	3386	4219
Mogat1	3	1	9	6	23	23	7	3	4
Acsl3	2377	2447	2481	3501	1124	1843	3420	2969	3390
Utp14b	1851	1709	1784	2190	762	1283	2620	1844	2122
Kcne4	0	5	0	0	16	0	9	0	2
Scg2	207399	207320	173124	103074	41091	62185	135143	107017	129264
Ap1s3	2080	1547	1754	1576	417	760	1559	1130	1440
Wdfy1	1692	1289	1373	1912	612	1211	2472	1992	2514
Mrpl44	646	819	626	685	286	460	943	827	1043
Serpine2	210	192	152	88	63	173	343	221	339
Fam124b	0	0	7	18	26	25	11	0	0
Cul3	11847	10576	10609	12536	3797	6333	11297	9329	11827
1700016L21Rik	0	0	0	0	3	0	0	0	0
Dock10	1785	1236	1393	1894	568	1010	1659	1292	1439
Nyap2	477	444	558	393	180	169	221	115	188
Mir6344	0	0	0	0	0	0	0	0	0
Irs1	4081	3894	3972	3753	1135	1955	2539	1719	2164
Rhbdd1	1481	1530	1448	2319	977	1905	3964	3119	4085
Col4a4	4	5	16	4	108	86	207	99	112
Col4a3	16	16	28	10	78	88	370	203	296
Mff	3829	3684	3449	3435	1340	1937	3952	3188	4241
Tm4sf20	0	0	0	4	2	0	0	0	0
Agfg1	9715	8568	9183	10548	3361	5629	8945	6540	8251
Slc19a3	0	0	2	16	6	23	18	19	19
Ccl20	7	0	2	0	4	0	27	12	39
Daw1	1	0	3	11	10	43	13	0	0
Sphkap	16187	16365	14046	12923	3905	6228	20640	13873	17281
Pid1	211	166	153	163	62	70	183	174	248
Mir6353	0	2	0	1	3	0	0	0	0
Dner	4632	5054	4678	2525	1033	1608	3449	2747	3371
Mir5126	0	0	0	4	5	0	0	0	0
Trip12	20429	17733	19296	18918	6211	11083	18061	14146	16673
Fbxo36	194	154	132	93	43	65	70	86	117
Slc16a14	160	74	79	139	79	51	142	131	162
A530032D15Rik	29	20	27	10	103	146	38	17	16
Gm7609	3	15	14	11	24	38	44	27	44
C130026I21Rik	198	203	178	189	209	188	222	117	184
Sp110	107	103	77	132	345	244	187	125	136
Sp140	130	105	143	121	137	93	240	190	216
Sp100	99	54	94	28	45	34	52	70	61
A630001G21Rik	4	0	4	0	17	38	9	0	5
Mir8096	0	0	0	5	1	0	0	0	0
9930111H07Rik	0	0	0	0	3	13	0	0	0
Cab39	6617	6517	6331	6668	2115	3622	7023	6147	7616
Itm2c	5549	6635	5770	3935	1668	3184	6635	5898	7715
4933407L21Rik	16	17	8	9	27	7	9	10	5
