Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
LOC683313	0	0	0	0	0	0	0	0	0
Map7d2	0	0	0	0	0	0	0	0	0
LOC100909648	0	0	0	0	0	0	0	0	0
Trim15	6	0	1	1	0	0	5	0	2
LOC100361083	1275	1495	771	249	316	259	1037	1234	998
LOC102552805	33	25	3	10	16	10	22	24	17
Senp3	2474	2149	2128	2517	1124	2414	2599	1666	2542
Rbpj	2668	2189	2434	4153	3033	3663	3093	2850	3235
Fcf1	1095	649	922	961	442	529	1071	620	1282
Mpnd	519	403	355	374	93	190	374	143	343
Irs1	4	0	7	1	7	2	7	5	15
Kdr	1	0	0	0	0	0	0	0	0
Ramp2	120	79	102	53	63	22	175	165	123
Gsta5	0	0	0	0	0	0	0	0	0
Gsta3	0	0	0	0	2	3	0	0	2
Tmem242	998	648	1016	697	391	492	877	559	849
Ldhal6b	2	4	4	3	3	1	5	0	6
Ankrd61	1	2	0	0	0	3	2	0	1
Eid3	33	39	38	60	91	80	52	72	110
Pon1	0	0	0	0	0	0	0	0	0
Prkab1	1339	1066	956	883	456	743	861	603	839
Grip1	0	1	0	0	0	0	0	0	0
Ralbp1	2234	2104	2058	2525	3028	2461	3027	3463	2878
Gsk3b	2890	2599	2919	4054	4525	4614	3055	3747	3627
Aldh3a1	0	0	0	0	0	0	0	0	0
Dut	967	993	344	594	431	197	336	212	434
Spns1	1147	877	1371	1064	212	1314	1816	619	2334
Pald1	726	529	434	237	82	159	412	153	408
Pck2	1695	1454	2839	2629	955	3201	3037	1221	3762
RGD1308430	849	514	695	991	210	595	864	278	824
Mrpl52	833	539	786	626	433	363	1025	696	1028
RGD1310110	0	0	0	0	0	0	0	0	0
Mapk1ip1l	1715	1600	1485	1753	1403	2095	1463	1656	1718
Rpp14	1155	784	1126	1471	681	1008	1550	1006	1473
Ube2e2	585	416	412	558	352	292	306	178	364
Chchd1	613	366	701	694	228	285	525	245	638
Dupd1	0	1	3	4	3	5	0	0	0
Ppp4r3b	3426	3315	3645	4263	3765	4558	3625	4116	3927
Vrk2	639	713	676	349	378	299	484	490	639
Gas2l1	434	536	361	276	121	331	421	334	427
Mxd4	1511	826	711	838	336	559	820	466	637
Hmx1	0	0	0	0	0	0	0	0	0
Tmem128	1097	718	1219	936	251	673	1026	356	1190
Zcchc4	285	269	294	233	120	228	276	245	449
Mas1l	0	0	0	0	0	0	0	0	0
Lig4	547	498	750	814	627	742	755	706	1119
Tmem255b	0	0	0	0	0	0	0	0	0
Ephx4	1	0	0	0	0	0	0	0	0
Glmn	668	430	501	603	285	450	589	389	750
Ogn	0	0	0	0	0	0	0	0	0
Lime1	181	147	182	143	27	172	160	27	173
Slc41a2	826	682	869	1955	980	2117	2322	1658	2476
Wdpcp	164	117	165	186	71	141	126	69	180
Ciita	182	220	31	46	35	27	3	2	4
Atg4d	437	399	579	534	170	595	520	192	716
Tas2r124	0	0	0	0	0	0	0	0	0
Alx4	0	0	0	0	0	0	0	0	0
Utp15	2018	1910	2413	2547	1399	3381	2551	1641	3472
Slc7a6	3374	2552	3522	7315	2897	6236	4415	2501	4587
Mdga1	59	52	30	24	12	17	44	7	34
Gfod2	423	278	417	442	189	519	423	226	560
Slc17a4	0	0	0	4	0	0	0	0	0
Atg13	1489	1040	1174	3173	1545	3535	3168	2342	3163
Ralgapb	6098	4856	6356	4638	3090	4992	6229	4604	6876
Elmsan1	754	636	1139	1905	1190	2981	1268	1101	1946
Pdzd7	44	48	34	17	18	18	42	13	38
Smok2a	0	0	0	0	0	0	0	0	0
Vom2r7	0	0	0	0	0	0	0	0	0
Vom2r9	0	0	0	0	0	0	0	0	0
Dact2	1044	791	763	743	268	560	742	398	634
Fbxo31	434	354	327	184	80	192	410	171	338
Pif1	63	71	41	21	9	13	5	4	24
Tas2r139	0	0	0	0	0	0	0	0	0
Phf10	3440	3255	4361	7210	7656	6148	4628	5587	4719
Sqor	434	292	238	279	170	116	435	301	409
Amer1	436	366	318	188	131	136	220	180	234
RGD1565641	1088	526	1318	873	605	336	1132	969	1129
Dnajc5b	2	1	0	1	0	0	1	2	2
Fam173b	368	258	346	200	50	133	338	170	419
Borcs7	1088	1154	1002	1004	849	1220	777	807	803
LOC301124	2548	1629	3198	1874	489	1057	3905	1253	4322
Rbfox3	23	18	30	23	45	19	35	27	28
RGD1309350	705	447	379	450	268	232	651	298	554
RGD1559578	0	0	0	0	0	0	0	0	0
Nccrp1	0	0	0	0	0	0	0	0	0
Tmem63a	1448	1242	1255	1470	776	1521	1464	940	1459
Kcnq5	0	0	0	0	0	0	0	0	0
Klhl23	4	5	0	2	0	0	3	1	0
Camsap2	4062	4063	4257	5765	5582	5810	5129	5535	5819
Chd5	1	0	0	1	3	5	9	0	0
Cngb3	0	0	0	0	0	0	0	0	0
Mir351	0	0	0	0	0	0	0	0	0
Mir449c	0	0	0	0	0	0	0	0	0
Mir3547	0	0	0	0	0	0	0	0	0
Fpr1	0	0	0	0	0	0	0	0	0
Fpr-rs3	0	0	0	0	0	0	0	0	0
Pdia6	11379	10861	8242	33189	16874	32292	31456	22646	28003
Tas2r110	0	0	0	0	0	0	0	0	0
Vom1r13	0	0	0	0	0	0	0	0	0
Tmem106b	1323	1022	1330	996	866	1195	2275	1832	2286
Ggnbp2	4193	4063	4404	5899	5319	6244	3754	4265	4809
Trem3	0	0	1	0	0	0	9	3	0
Arr3	0	0	0	0	0	0	0	0	0
Vom1r17	0	0	0	0	0	0	0	0	0
Vom1r16	0	0	0	0	0	0	0	0	0
Eml1	2040	1628	682	549	342	315	524	458	564
Vom2r80	2	2	0	0	4	0	0	0	1
Sult2b1	32	14	27	5	3	7	19	0	7
Vom2r15	0	0	0	0	0	0	0	0	0
Vom2r16	0	0	0	0	0	0	0	0	0
Crbn	1152	733	902	1197	885	894	1071	945	1307
Vom2r26	0	0	0	0	0	0	0	0	0
Nmb	1	8	3	13	4	4	8	1	0
Cldn22	0	0	0	0	0	0	0	0	0
Rgs9bp	0	0	0	0	0	0	0	0	1
Itk	7	9	14	16	8	6	2	1	13
Paip1	3684	2930	3311	3066	2263	2606	3193	2540	3468
Cabp4	0	1	0	0	0	0	0	0	1
Tbc1d10b	1536	1257	1188	2179	829	2139	1786	1095	1828
Rps9	0	0	0	0	0	0	0	0	0
LOC103689992	0	0	0	0	0	0	0	0	0
Pms2	1113	933	896	508	392	396	783	591	804
Cct8	7096	6260	7148	7714	4894	6635	8047	6341	9098
Rbm11	0	0	0	0	0	0	0	0	0
Tbc1d19	495	460	460	524	438	446	548	472	546
Maz	1990	2000	1498	1375	714	1442	1396	1000	1813
Trrap	5499	5386	4340	3893	2476	3990	4448	3389	4517
Opalin	0	0	0	0	0	0	0	0	0
Atad1	3974	3134	4514	4090	2236	3579	4248	3057	4530
Kcng3	0	0	0	0	0	0	0	0	0
Mir665	0	0	0	0	0	0	0	0	0
Lipa	767	646	816	837	465	795	1113	1007	1294
Sgpp2	0	0	0	5	4	2	1	4	0
Mir383	0	0	0	0	0	0	0	0	0
Tns1	6710	5117	6930	7777	4228	9476	3083	1804	4884
Olr1l	0	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0	0
Mir543	0	0	0	0	0	0	0	0	0
Mir542	0	0	0	0	0	0	0	0	0
Mir541	0	0	0	0	0	0	0	0	0
Mir532	0	0	0	0	0	0	0	0	0
Mir500	0	0	0	0	0	0	0	0	0
Mir495	0	0	0	0	0	0	0	0	0
LOC292543	0	0	3	5	0	0	0	0	0
Vom2r27	0	0	0	0	0	0	0	0	0
Vom2r12	0	4	0	0	0	0	1	0	0
Vom2r13	0	0	0	0	0	0	0	0	0
Vom2r17	0	0	0	0	0	0	0	0	0
Vom2r19	0	0	0	0	0	0	0	0	0
Sufu	803	707	658	565	290	621	686	337	724
Umps	1432	1334	1233	1202	550	1153	1043	668	1349
Ddx59	379	345	287	181	225	179	178	181	302
Krt71	0	0	0	0	0	0	0	0	0
Chmp4bl1	2007	1777	1773	2311	1715	2202	2650	2291	2705
Armcx1	12	3	12	31	44	8	25	61	14
Vom2r36	0	0	0	0	0	0	0	0	0
Vom2r33	0	0	0	0	0	0	0	0	0
Vom2r77	0	0	0	0	0	0	0	0	2
Vom2r49	0	0	0	0	0	0	0	0	0
Vom2r34	0	0	0	0	0	0	0	0	0
Mir487b	0	0	0	0	0	0	0	0	0
Mir376a	0	0	0	0	0	0	0	0	0
Mir376b	0	0	0	0	0	0	0	0	0
Mir376c	0	0	0	0	0	0	0	0	0
Mir494	0	0	0	0	0	0	0	0	0
Mir379	0	0	0	0	0	0	0	0	0
Mir493	0	0	0	0	0	0	0	0	0
Mcrs1	1198	971	1030	1120	393	1223	1106	568	1349
Fkbp11	257	178	241	702	173	524	1345	628	1316
Elmod3	369	262	246	181	105	173	284	173	322
Cthrc1	0	0	0	0	0	1	0	1	0
Vom2r78	0	0	0	0	0	0	0	0	0
Mmadhc	1597	1171	1562	1611	600	1037	1658	780	1924
Nlrp4a	0	0	0	0	0	0	0	0	0
Vom2r28	0	0	0	0	0	0	0	0	0
Cfd	66	45	55	49	15	35	15	6	20
Acbd5	418	327	346	405	504	335	438	516	484
Ripply3	0	0	0	0	0	0	0	0	0
Pop7	544	361	412	389	86	217	487	203	540
Mir328b	0	0	0	0	0	0	0	0	0
Itgb1bp1	1631	1008	1661	1437	629	917	1771	957	1882
Mrpl45	2498	2502	2586	2681	1800	2209	2391	1950	2408
Ftx	46	47	59	24	20	82	104	78	123
Zim1	0	1	2	0	0	0	0	0	1
Olr3	0	0	0	0	0	0	0	0	0
Olr4	0	0	0	0	0	0	0	0	0
Olr5	0	0	0	0	0	0	0	0	0
Olr6	0	0	0	0	0	0	0	0	0
Olr7	0	0	0	0	0	0	0	0	0
Olr8	0	0	0	0	0	0	0	0	0
Zfp583	0	0	0	0	1	0	0	0	0
Rab34	3381	2372	3326	3358	903	2915	5146	1970	5172
Gpatch2	1495	1814	1461	971	1104	1026	836	1011	1066
Ptcd2	622	495	463	227	152	174	302	271	426
Dll4	5	11	28	59	10	41	37	10	66
Rhobtb3	4	1	11	1	2	2	8	8	3
Vom2r71	0	0	0	0	0	0	0	0	0
Nlrp9	0	0	0	0	0	0	0	0	0
Ak8	0	0	1	0	8	6	5	0	2
Pla2g15	675	427	477	356	114	184	443	175	391
Rfpl4a	0	0	0	0	0	0	0	0	0
Nmral1	220	206	107	59	34	49	75	31	101
Gprc5c	2648	1908	1419	1026	415	673	1082	439	1161
Zfp524	138	90	108	60	20	89	76	46	129
Fiz1	666	592	627	619	381	932	631	402	749
Caap1	565	560	477	504	567	383	542	670	596
Spdye4	0	0	0	0	0	0	0	0	0
Svbp	317	192	247	265	87	125	261	136	222
Fbxo22	762	745	733	563	317	507	653	526	763
Syngap1	1279	894	1228	959	529	1170	1213	971	1383
Piwil4	4	0	0	0	7	0	1	3	0
S1pr3	0	0	1	0	0	4	4	3	3
Hnf4a	0	0	0	0	0	0	0	0	0
Itgb4	1040	837	1248	733	396	1208	687	500	876
Pccb	1378	943	978	859	315	584	1030	436	1018
Ptprh	22	40	1	0	2	1	1	0	0
Ttc14	2346	2519	3035	2622	3083	3494	2250	3000	2845
Usp13	22	12	9	24	12	13	7	9	11
Rasal2	389	452	382	429	495	531	607	764	740
Rreb1	2935	2627	2514	1972	1513	2425	2460	2361	3582
Tpm1	31963	21690	32560	46144	31838	35580	7118	4625	6790
Oaz1	5499	4298	4228	5866	1487	3822	4844	1634	4786
Wbp11	65	11	67	62	98	10	47	58	53
Kcnj1	0	1	0	6	5	5	14	35	10
Zeb1	1710	1487	1422	2872	2392	2902	1688	1446	2245
Pola1	1443	1729	728	1233	1297	586	543	590	743
Abcg1	425	268	239	87	68	85	264	128	196
Slc5a12	0	1	0	0	1	0	0	0	0
Uimc1	2145	1579	1863	1183	1425	895	1633	1727	1501
Rhox12	0	0	0	0	0	0	0	0	0
Ribc2	0	0	0	0	6	0	11	10	12
Vom2r29	0	0	0	0	0	0	0	0	0
Vom2r30	0	0	0	0	0	0	0	0	0
Vom2r31	0	1	0	0	0	0	0	0	0
Eif3d	5593	4663	6191	7453	4281	7688	5997	5116	7986
Tas2r136	0	0	0	0	0	0	0	0	0
Uchl5	770	957	530	734	1325	432	656	886	586
Ankrd13a	6646	6768	5859	6399	6483	7491	7784	9928	8251
Pla2g4c	0	0	0	0	0	0	0	0	0
Fam221a	0	0	0	0	0	0	0	0	0
Snap25	0	0	0	0	0	0	0	0	0
Rp1	1	12	0	2	16	6	10	47	55
Hrh3	0	0	0	0	0	0	0	0	0
Csnk1a1	6732	6275	6984	8285	6577	7856	7635	6673	8606
Hspb8	4	2	0	0	0	0	4	1	0
Bco1	18	31	32	22	30	16	56	59	58
Sc5d	4432	5315	3384	9704	8486	7775	7816	8892	9801
Prdx5	2998	1671	3435	3377	931	2233	4860	1788	4982
Wdr82	1644	1200	1444	1405	520	1291	1244	695	1401
Mfap3l	0	0	0	0	0	0	0	0	0
Supt20h	2905	2458	3121	3042	2157	3079	2340	1976	2906
Tm2d2	995	778	865	600	211	539	890	441	1046
Ofd1	1072	1065	992	927	1028	835	1143	1214	1161
Snx8	311	219	405	267	121	325	375	244	610
Ceacam9	2	0	2	3	0	0	6	0	2
Lrrn3	0	0	0	0	0	0	0	0	0
Bst1	0	0	0	0	0	0	0	0	0
Emp3	1151	814	1403	2106	601	1392	3168	1571	2557
Ica1	1	0	1	0	0	0	0	0	0
Pfn2	46	37	66	69	66	45	91	140	106
Arhgef9	8	4	3	4	1	7	0	1	15
Dact3	94	79	126	132	61	107	138	92	150
Pcsk6	0	0	0	0	0	0	0	0	0
Efs	0	0	0	0	0	0	0	0	0
Pnma8b	0	0	0	0	0	0	0	0	0
Pnma8a	9	9	15	2	0	1	4	0	3
Ccdc8	4732	3699	4032	2572	1090	1750	3152	2061	2945
Irf6	34	27	5	9	35	5	10	7	26
Mael	0	0	0	0	0	0	0	0	0
Ccno	0	0	0	3	0	0	0	0	0
Fgfbp3	62	55	70	17	25	11	76	47	76
Ceacam3	0	0	0	0	0	0	0	0	0
Rad50	4044	3970	3247	1601	2997	1696	1785	2540	2285
Ceacam11	0	0	0	0	0	0	0	0	0
Becn1	7523	6638	7084	7461	5738	6579	8661	7773	9538
Psg19	0	0	0	0	0	0	0	0	0
Mbd2	2372	2252	2506	3074	4566	3239	3195	4703	3547
Hnrnpa3	24698	20874	27794	40393	41339	30707	23139	26500	26741
Nanos2	0	0	0	0	0	0	0	0	1
Mypop	254	250	187	202	78	182	230	151	189
Gzf1	1194	872	1026	943	665	879	1046	667	1181
Phtf2	2059	1576	1264	1373	1532	1081	1716	1681	1550
Armc10	1114	810	908	622	321	484	1037	597	1221
Srpk2	3519	3019	3018	2930	3021	2789	2742	2874	3247
Slc30a10	0	0	0	0	2	0	2	0	0
Ndufb5	1752	1007	1867	1151	516	872	1362	609	1636
Pax6	1	0	0	0	0	0	0	2	8
Ncald	129	113	27	11	3	7	40	25	29
Ppm1n	85	52	91	53	39	38	76	42	103
Pik3cb	1751	1744	1683	1235	858	1232	1464	1135	1655
Traf3ip2	202	165	181	98	58	147	216	100	246
Cyp2c13	0	0	0	0	0	0	0	0	0
Nrl	0	0	0	0	0	0	0	0	0
Iscu	798	678	765	596	288	426	789	470	865
Foxn4	0	0	0	0	0	0	0	0	0
RGD1564324	0	0	0	0	0	0	0	0	0
Tbrg4	1038	887	1332	1427	418	1769	1209	622	1643
Thoc5	1860	1486	1900	1631	1173	1447	1879	1559	2145
Ccdc153	4	5	1	6	7	1	9	11	9
LOC308990	0	0	0	0	0	0	0	0	0
Dsn1	710	966	458	671	620	462	147	119	360
Adarb1	1174	1066	682	743	597	655	624	536	570
Apoe	82	93	186	174	76	327	145	92	178
Brca1	2157	2967	839	1538	2337	1085	395	508	774
S100a4	81	52	57	69	66	38	917	530	1056
Rcan1	3014	2034	2373	45992	18969	35905	30541	13152	30030
Nalcn	0	2	0	0	0	0	0	0	0
Prl3a1	0	0	0	0	0	0	0	0	0
Soat2	2	0	4	2	1	3	4	0	9
Ppp1r14d	0	0	0	0	0	0	0	0	0
LOC257642	0	0	0	0	0	0	0	0	0
Zfp597	225	183	197	217	173	303	197	190	181
Zfp709	1	6	2	0	0	2	7	1	8
Vom1r90	0	0	0	0	0	0	0	0	0
Zfp112	74	55	76	50	34	72	65	33	78
Bdnf	18	15	30	298	161	206	162	102	170
Tescl	0	0	0	0	0	0	0	0	0
Slc43a2	708	567	229	121	69	96	256	159	202
Zer1	1332	1021	866	608	349	645	1135	533	946
Mmel1	0	0	0	0	0	0	0	0	0
Steap2	1817	1295	1521	3740	2373	2637	3595	2641	3182
Dbnl	2872	2361	1854	1875	827	1247	1747	1127	1816
RGD1563986	410	429	276	160	89	203	305	173	323
Efhc1	2	2	1	0	0	0	1	3	2
Letmd1	818	597	890	812	383	875	826	571	991
Kcnc4	1	0	0	0	0	0	0	0	0
Phldb3	335	355	320	480	325	465	605	582	648
Plxna3	796	696	480	607	356	477	716	460	993
Oprm1	2	0	0	0	0	0	0	0	0
Il1rap	461	353	530	306	215	330	524	298	611
Grik3	0	0	0	0	0	0	0	0	0
Klre1	5	4	2	0	0	0	1	0	0
Lypd4	0	0	0	0	0	0	0	0	0
Sgms2	691	521	1755	2399	1471	4156	4705	3667	6132
Tlr7	0	0	0	0	0	0	0	0	0
Cops9	1221	561	798	653	312	171	827	470	729
Polr2e	2073	1598	1519	1627	564	841	2502	1172	2016
Actrt3	15	13	1	2	0	0	5	0	3
LOC498675	6	17	12	27	12	29	21	13	18
Mon1a	149	148	161	250	58	335	288	158	341
Tspan33	449	299	268	212	76	139	273	127	222
Fam222b	1006	932	957	779	818	1187	1069	1407	1262
Egflam	0	0	2	0	4	0	0	0	0
Gemin4	1650	1263	1182	635	299	551	1153	648	1207
Dpy30	957	737	754	563	569	306	688	619	710
Ceacam16	0	0	1	0	0	0	0	0	0
Prr19	0	0	0	0	0	0	0	0	1
RGD1561149	2525	1840	2403	4610	2089	4548	3617	2588	5316
Ccdc196	0	0	0	0	0	0	0	0	0
Tmem269	8	2	3	3	3	8	1	3	9
Ccdc24	2	0	0	1	4	4	4	0	5
RGD1560146	0	0	0	0	0	0	0	0	0
Lrrc69	0	3	4	7	7	18	11	9	5
RGD1560289	50	46	66	65	53	75	64	44	63
Ccdc28b	152	112	75	90	37	12	102	49	96
Fndc11	0	0	0	0	0	0	0	0	0
Tti1	1194	958	915	589	424	470	883	658	979
Ap5s1	301	214	345	250	105	251	377	169	385
Ccdc187	243	178	34	20	23	14	0	4	1
Slc7a14	0	1	0	0	0	0	0	0	0
Plekhs1	3	2	0	15	5	0	1	2	3
Igflr1	15	10	12	9	2	20	10	5	19
Yaf2	1147	1271	1192	1506	1630	1561	922	1149	1042
Sec23ip	2352	1947	2567	5446	3262	5459	3547	3097	4125
Tmem170a	267	241	317	671	271	750	390	303	519
Fam135a	1541	1389	1484	1856	1306	1829	1393	1184	1843
Cd177	2	1	0	1	0	0	0	0	0
Swi5	3986	2310	3168	3523	1558	1502	3494	1839	3453
Cenpw	304	485	99	248	192	57	27	13	91
Csde1	6979	5657	6803	6805	5781	5756	5099	4861	6795
Ppp1r12a	3183	3252	3192	5366	6973	5466	3127	4540	3797
Cyp2a3	0	0	0	0	0	0	0	0	0
Atp13a1	3024	2895	2992	2708	1402	3162	3279	2183	3392
Nfkb1	2376	1998	2068	4348	2115	3475	2134	1490	2150
Trim34	573	385	462	248	171	189	454	265	468
Apol3	865	523	305	251	83	87	118	52	129
Efemp2	3998	2817	3328	2853	945	2668	2636	1225	2929
