Geneid	KRS7_19_GLUTag_1_DMSO	KRS7_22_GLUTag_2_DMSO	KRS7_25_GLUTag_3_DMSO	KRS7_20_GLUTag_1_Tg6h	KRS7_23_GLUTag_2_Tg6h	KRS7_26_GLUTag_3_Tg6h	KRS7_21_GLUTag_1_Tg24h	KRS7_24_GLUTag_2_Tg24h	KRS7_27_GLUTag_3_Tg24h
Arhgef4	193	174	133	165	384	167	218	139	347
Fam168b	7472	8036	6473	6968	13399	5107	6359	4727	8803
Plekhb2	6129	5444	5583	2932	5425	2272	4751	3173	6461
Hs6st1	1190	1026	1017	1093	1798	742	1196	871	1657
Uggt1	9352	8044	8314	8883	13024	5010	12946	9196	18800
Mir6897	0	0	0	0	2	0	0	2	1
Neurl3	1469	1169	1427	1494	2547	1444	1678	1302	2374
Arid5a	279	305	252	721	1054	442	515	456	823
Kansl3	3195	3121	2729	3610	7396	2665	3365	2497	4566
Mir6898	0	0	0	0	0	0	0	0	0
Fer1l5	0	5	1	0	1	1	2	1	2
Lman2l	1173	1076	945	877	1731	590	1388	988	1548
Cnnm4	1227	1296	1336	777	1529	541	1331	1043	1820
Cnnm3	830	781	820	422	1037	363	921	659	1206
Ankrd23	84	74	79	104	164	49	96	89	149
Ankrd39	257	188	210	112	346	100	237	158	267
Sema4c	474	436	445	236	554	236	401	283	698
Fam178b	4	3	6	2	6	1	4	3	3
Cox5b	3676	2841	3135	1991	3076	792	3066	1063	4089
Actr1b	4754	4217	4619	3966	6674	3124	4171	2720	5890
4933424G06Rik	8	3	2	12	19	5	3	5	2
Zap70	5	3	0	1	5	2	3	2	17
Tmem131	5625	5450	5455	7585	8304	3668	5000	4018	7298
Cnga3	104	77	131	220	210	103	290	237	407
Inpp4a	2378	2820	2252	1740	3508	1244	2120	1573	2926
Coa5	3443	3471	3410	2774	5272	1966	3773	2663	5297
Unc50	980	965	920	572	1536	517	1219	708	1668
Mgat4a	2421	2035	2305	1761	3124	1336	2248	1792	3063
4930594C11Rik	10	7	3	12	12	10	6	1	5
2010300C02Rik	70	31	28	42	45	20	55	21	35
Tsga10	151	140	118	214	273	90	145	132	159
Lipt1	95	132	95	115	221	76	120	93	129
Mitd1	278	342	322	373	628	182	314	253	408
Mrpl30	2183	2097	1863	1000	2632	772	2169	968	2755
Lyg2	0	0	0	2	2	0	0	0	0
Lyg1	0	0	0	0	2	0	0	1	0
Txndc9	2251	2294	2309	2919	3891	1758	2209	1594	3163
Eif5b	5942	5977	6514	11785	11248	5131	5604	4766	7893
Rev1	2088	2186	1851	2111	4650	1672	1958	1438	2653
Aff3	2829	2575	2410	4223	4562	2201	2085	1910	3102
Lonrf2	682	630	773	893	1341	690	1482	963	2211
Chst10	1335	1325	1403	965	2040	817	1337	893	1898
Nms	0	0	0	0	0	0	2	1	0
Pdcl3	1481	1444	1399	1387	2130	799	1493	1032	1980
Mir6349	0	0	0	0	0	0	0	0	0
Npas2	32	88	30	29	83	23	13	15	30
Rpl31	6203	6543	5098	2745	7045	1182	5585	2208	7602
Tbc1d8	798	907	768	460	797	328	669	613	980
Cnot11	1233	1188	1236	1221	1995	963	1288	1029	1825
Snord89	12	4	8	0	5	2	4	3	8
Rnf149	564	657	636	840	956	547	861	686	1090
Creg2	1	4	5	10	8	6	6	5	6
Rfx8	0	0	0	1	0	0	0	0	0
Gm3646	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	2	0	0	0	0	1	0
Map4k4	23	33	46	29	65	34	31	27	55
Gm16894	1	1	0	0	0	0	0	0	0
Il1r2	0	1	0	2	1	0	1	3	1
Il1r1	381	380	334	347	445	189	520	574	667
Il1rl2	0	1	0	0	0	1	1	3	0
Il1rl1	3	0	4	0	1	2	8	3	22
Il18r1	0	1	0	0	0	0	0	0	0
Il18rap	1	0	0	0	0	1	0	0	2
Slc9a4	0	0	0	0	0	0	0	0	0
Slc9a2	325	354	405	385	651	357	371	313	708
Mfsd9	115	154	113	68	134	59	128	96	149
Tmem182	11	13	18	11	17	6	21	14	32
4930448I06Rik	0	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	7	0	0	0	4
Pou3f3	21	9	9	14	11	3	6	10	11
2900092D14Rik	4	0	2	16	6	1	0	1	2
Pantr2	1	1	0	3	8	1	1	1	1
Dalir	0	0	0	2	0	0	0	0	0
Mrps9	1189	1284	1265	1332	2348	867	1061	730	1503
Gpr45	5	6	4	10	9	0	7	4	4
Tgfbrap1	1989	1739	1964	2516	3575	1707	2203	1776	3427
AI597479	962	1011	946	873	1951	716	1019	779	1337
Fhl2	302	401	267	160	443	135	217	123	236
Nck2	730	681	771	579	1257	499	635	559	988
1500015O10Rik	0	0	0	0	0	1	0	0	0
Uxs1	1022	919	981	827	1250	530	1032	755	1403
Tpp2	3369	3635	3656	5259	7164	3391	2982	2361	4141
Mettl21c	0	0	0	1	0	0	1	0	0
Tex30	1287	1366	1417	1045	2196	884	1207	847	1637
Kdelc1	427	383	427	438	665	265	527	421	720
Bivm	999	975	955	1160	1985	772	1092	818	1631
Ercc5	830	840	830	1322	1927	848	856	724	1343
Mettl21e	0	0	0	0	0	0	0	0	0
Gulp1	0	2	0	0	0	0	0	0	0
4930521E06Rik	0	0	0	0	0	0	0	0	0
Col3a1	0	0	0	1	0	0	1	0	0
Col5a2	0	0	1	0	0	0	0	0	0
Wdr75	1851	1726	1751	1943	4510	1762	1827	1264	2591
Slc40a1	2072	2364	2161	948	2087	900	1387	1073	2021
Stk-ps2	0	0	0	0	0	0	0	0	0
Dnah7b	21	32	35	103	89	48	55	43	52
Slc39a10	1623	1508	1424	1026	1311	608	936	739	1052
Mir6350	0	0	0	0	0	0	0	0	0
Tmeff2	460	296	455	472	581	314	490	329	801
9330175M20Rik	4	0	0	2	0	1	0	1	0
Sdpr	1	1	1	1	1	2	5	0	0
Nabp1	547	553	571	649	937	358	600	542	848
Myo1b	2268	2079	2977	2904	3730	2227	1783	1465	2700
Stat4	15	12	18	33	17	25	10	6	25
Stat1	1690	1587	1943	2330	2648	1572	2239	1462	3115
Gls	5857	5575	6239	5346	10480	4250	4865	4166	6718
Nab1	1610	1923	1568	2294	2853	1241	1689	1360	2165
Tmem194b	307	457	359	240	656	197	444	350	608
Mfsd6	2597	2874	2702	6007	5809	2985	4496	3753	7253
Inpp1	345	391	305	307	736	280	335	294	600
Hibch	320	279	293	388	554	252	500	311	656
1700019D03Rik	16	20	18	22	15	13	50	29	56
Mstn	0	1	0	4	0	0	0	1	1
1700019A02Rik	0	0	3	4	2	4	1	2	2
Pms1	358	494	427	665	968	421	421	330	515
Ormdl1	1038	1246	1092	1020	1932	734	1308	952	1680
Osgepl1	346	422	376	648	897	373	378	364	526
Asnsd1	1034	1456	1029	1538	2819	925	1390	1001	2059
Dnah7a	20	10	8	28	33	7	18	15	32
Stk17b	579	668	637	828	1520	605	544	494	803
Hecw2	78	85	114	105	181	70	75	62	119
Mir7681	0	0	0	0	0	0	0	0	0
Ccdc150	12	5	10	29	22	6	17	7	19
Gtf3c3	917	992	834	987	1588	671	1128	731	1294
Pgap1	5523	5798	7195	5494	7406	4257	4241	3476	6435
Ankrd44	2451	2307	2708	2586	3187	1773	1990	1688	2930
Sf3b1	13506	14376	13084	14252	22820	9582	10799	7688	13982
Coq10b	887	581	963	947	1861	923	810	508	1134
Hspd1	14203	13285	13962	16046	20207	8268	14291	8839	18364
Hspe1	1983	1944	1915	1535	2717	796	2068	847	2711
Mob4	1824	1831	2181	2251	3688	1687	1626	1397	2491
Rftn2	30	24	25	38	53	11	71	59	89
Mars2	562	533	563	559	1096	435	534	419	803
Boll	0	0	0	0	0	0	0	0	1
Plcl1	1371	1199	1367	2405	2338	1352	1317	1144	2055
9130227L01Rik	6	4	4	3	3	3	4	3	21
1700003I22Rik	4	3	3	0	2	0	1	0	1
Hsfy2	0	0	0	1	0	0	0	0	0
Satb2	5649	4556	5079	6723	5484	2857	3963	3139	5865
9130024F11Rik	567	511	583	535	549	299	271	294	412
BC055402	78	52	28	41	78	18	37	27	27
4930558J18Rik	27	43	42	85	96	36	87	57	58
1700066M21Rik	770	885	919	1196	1844	925	809	839	1148
Tyw5	369	454	431	568	1146	420	516	360	628
9430016H08Rik	430	478	413	400	988	380	467	293	704
Spats2l	0	1	1	1	2	2	2	0	1
Kctd18	314	379	312	365	738	328	486	325	608
Sgol2a	2484	2358	2539	3468	4693	2098	1856	1835	2573
Aox1	41	37	31	47	79	24	81	34	70
Aox3	0	2	3	0	5	0	5	1	1
Aox4	39	127	29	27	123	6	14	4	5
Aox2	2	0	0	1	0	0	1	2	4
Bzw1	8486	7211	8422	5583	10853	4736	7440	5063	10191
Clk1	2561	2772	2472	3711	5108	1708	3019	2818	3836
Ppil3	476	397	432	430	783	255	597	324	778
Nif3l1	621	521	635	520	911	408	636	427	970
Orc2	3561	3059	3766	6111	9264	4571	4512	3109	6589
Fam126b	2031	1958	2091	1986	3383	1442	1679	1666	2359
Ndufb3	1757	1345	1554	579	972	302	1469	581	1901
Gm20257	22	10	18	22	40	12	21	24	40
Als2cr12	0	0	1	1	2	0	0	3	0
Cflar	335	311	319	1104	1300	483	606	518	1094
Casp8	542	509	525	592	880	363	682	551	777
Trak2	5684	4698	6178	7265	7929	5045	5921	4562	9452
Stradb	343	306	329	305	750	277	397	255	541
Als2cr11	0	2	1	15	8	3	2	5	2
Tmem237	1417	1584	1333	1533	2507	979	1582	1223	2059
Mpp4	3	3	2	4	9	0	2	12	10
Als2	2641	2244	2427	2742	3499	1839	2674	1853	3273
Cdk15	0	4	0	0	1	3	3	1	2
Fzd7	281	390	169	244	421	138	205	146	264
Gm973	6	3	2	8	6	3	2	2	1
Sumo1	4583	4450	4229	4473	6368	2274	3581	2212	4709
Nop58	6968	6999	7376	15076	19873	8106	7405	4781	9761
Snord70	6	2	0	3	1	3	1	2	3
Snord11	3	2	1	0	2	2	5	0	3
Bmpr2	4818	4364	4841	6494	6551	3553	4384	3544	5646
Fam117b	2848	3367	3068	3525	5071	2542	2345	2030	3394
Ica1l	211	208	237	244	365	185	349	247	499
Wdr12	1481	1428	1576	1857	2992	1214	1409	885	1705
Carf	410	591	443	560	985	447	524	438	782
Nbeal1	981	813	911	1716	2276	990	1170	933	1457
Cyp20a1	892	867	859	859	1596	649	1104	660	1439
Abi2	4266	4468	4352	4073	6270	2895	3987	3046	5446
Raph1	1917	1790	1998	3411	3675	1883	1911	1540	2836
Cd28	1	1	2	5	0	1	2	0	1
Ctla4	0	0	0	0	1	0	0	0	0
Icos	0	1	0	0	0	3	0	0	1
9530026F06Rik	0	0	0	0	0	0	0	0	0
Pard3b	316	365	285	607	671	326	566	497	749
Nrp2	14018	15664	11837	12132	14858	6394	13757	10276	21173
4930487H11Rik	0	0	0	0	2	0	1	0	0
Ino80d	3054	3106	3119	3297	5046	1865	3084	2382	4075
Ino80dos	73	59	73	77	72	40	45	41	56
Ndufs1	3504	3159	3417	3579	5725	2561	3304	2225	4380
Eef1b2	3948	4451	3482	2661	5963	1926	4602	2641	6661
Snora41	3	7	5	3	9	1	9	4	7
Gpr1	0	0	0	0	0	0	0	0	0
Zdbf2	3334	2730	2135	5394	5285	1930	3077	2006	2805
Adam23	1887	1466	1581	1686	1686	814	1771	1446	2377
Dytn	0	0	0	0	1	0	0	0	0
Mdh1b	3	16	15	18	27	2	27	12	17
Fastkd2	889	985	998	774	1848	662	950	687	1265
4933402D24Rik	0	1	0	0	1	0	1	1	0
Gm13749	0	1	0	1	2	0	0	0	1
Mir1958	0	0	0	0	0	0	0	0	0
Klf7	447	469	532	717	707	258	374	371	606
Mir6899	0	0	0	0	0	0	0	0	0
Creb1	3230	3320	3224	4512	6634	2728	2791	2600	3621
Mettl21a	456	528	383	245	785	208	383	305	593
2810408I11Rik	211	203	196	242	421	120	291	158	439
Ccnyl1	1051	1012	957	1101	1652	625	862	755	1240
Fzd5	666	665	566	768	1244	426	813	560	1080
Plekhm3	1272	1259	1228	1451	2345	969	1582	1218	2130
Akr1cl	0	0	0	1	0	0	0	0	1
Cryge	0	0	0	0	0	0	4	0	1
Crygd	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0
Cryga	1	3	2	4	5	4	5	3	4
D630023F18Rik	295	295	450	597	498	360	363	344	396
Idh1	2669	1695	2288	2023	2425	1178	2468	1526	3038
Pikfyve	2195	2045	2273	2719	4421	1963	2569	1835	3573
Pth2r	3	2	4	2	4	1	0	1	2
Crygf	0	0	0	0	0	0	0	0	1
Map2	20618	19018	22896	23309	23377	12870	12356	11446	16576
Unc80	6720	5143	6397	6793	7231	4000	5825	4810	7955
Rpe	1461	1425	1606	1777	2488	1248	1558	1125	1833
Kansl1l	453	556	449	786	1219	441	394	360	535
Acadl	1949	1691	2030	1653	2207	1007	2036	1196	2411
Myl1	2	0	1	2	0	1	0	0	4
Lancl1	2122	2003	1954	1510	3462	1380	2256	1390	2915
Cps1	17	9	14	9	24	5	5	6	12
Erbb4	391	345	287	404	530	191	436	272	500
Ikzf2	201	155	206	180	320	167	182	176	271
Spag16	5	3	5	15	1	5	7	1	3
Vwc2l	0	0	5	3	1	0	0	2	1
Bard1	1903	1853	1933	1890	3173	1148	1530	1126	1910
Abca12	31	4	28	55	44	27	19	17	43
Atic	4217	3981	4046	3336	6570	2994	3814	2414	4863
Fn1	361	352	196	437	438	134	312	218	257
Apol7d	1	1	0	0	0	2	1	0	0
Gm8883	0	0	0	0	0	0	0	0	0
4933417E11Rik	0	1	0	0	0	2	1	0	1
Mreg	2774	2883	2381	2765	3927	1549	2635	2065	3219
Pecr	118	146	115	136	196	80	219	127	287
Tmem169	460	595	514	785	1090	435	600	483	860
Xrcc5	1060	1091	1032	1215	1856	821	1436	971	1806
March4	765	881	731	601	732	257	366	368	604
Smarcal1	1266	1337	1126	1208	2092	748	1365	925	1743
Ankar	0	0	0	0	0	1	1	0	0
Rpl37a	6090	5920	4729	878	4542	560	4400	1138	5137
Igfbp2	1	0	2	2	1	0	1	2	2
Igfbp5	60	40	53	31	21	11	14	19	25
Tnp1	0	0	0	0	0	0	2	1	0
1700027A15Rik	0	0	0	0	0	0	0	0	0
Pinc	0	0	0	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0	0	0	0
6030407O03Rik	0	0	1	2	1	0	0	0	0
Mir6351	0	0	0	0	0	0	0	0	0
Tns1	202	200	174	149	240	58	223	227	341
Rufy4	28	24	32	25	49	7	44	33	54
Cxcr2	0	0	1	0	2	4	2	1	2
Cxcr1	0	0	0	1	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0	0
Arpc2	5954	6082	5795	7069	9114	3894	5042	3768	7223
Gpbar1	81	44	68	141	96	58	86	41	136
Aamp	3742	3349	3600	3513	5246	2131	3566	2192	4756
Pnkd	898	979	927	565	1112	380	960	569	1377
Tmbim1	589	644	580	467	1201	441	791	531	1138
Catip	32	19	26	41	37	16	35	43	53
Slc11a1	0	0	2	0	2	0	2	1	0
Ctdsp1	1710	1531	1652	1344	2301	1011	1678	1344	2342
Mir26b	0	0	0	0	3	0	0	0	0
Vil1	123	102	143	95	141	59	74	84	69
Usp37	3635	4221	3371	4612	7393	3147	3889	3087	5062
Rqcd1	4214	3774	3997	3906	6696	2862	4038	2614	5738
Plcd4	5	11	1	25	16	7	16	21	17
Zfp142	1696	1625	1561	2932	3586	1656	1901	1566	3125
Bcs1l	622	616	675	586	1156	458	663	487	965
Rnf25	985	1036	867	1071	1892	686	910	716	1461
Stk36	157	183	134	158	328	100	204	181	293
Ttll4	1357	1300	1204	979	1923	671	1154	1045	1702
Cyp27a1	40	29	19	30	49	26	45	41	31
Prkag3	7	1	6	0	1	1	3	1	4
Wnt6	6	13	4	3	7	8	11	5	6
Wnt10a	3	1	3	3	2	1	1	3	10
Cdk5r2	1910	1873	1750	1399	2178	924	1240	1004	1952
Fev	1072	1320	792	1659	1693	722	940	936	1669
Cryba2	313	248	253	159	321	95	261	175	311
Mir375	0	0	0	0	0	0	0	0	0
Ccdc108	7	12	7	15	31	12	10	21	20
Ihh	1	3	14	9	13	5	7	2	9
Nhej1	41	49	58	70	77	47	79	42	70
Slc23a3	2	7	7	5	11	2	12	12	9
Cnppd1	1173	1280	1037	1122	2705	925	2011	1253	2868
Fam134a	4262	4643	3769	2163	5870	2073	4591	3122	6271
Zfand2b	455	550	445	508	1082	403	517	332	697
Abcb6	2706	2369	2327	1475	2942	1111	2685	1706	3468
Atg9a	2315	2327	1999	1370	3645	1144	1905	1353	2994
Ankzf1	710	956	594	622	1637	385	538	487	889
Glb1l	314	263	292	203	510	201	239	261	353
Stk16	1658	1413	1552	971	2408	949	1547	972	2090
Tuba4a	2776	2115	2617	1705	2471	1067	1994	1350	2495
A630095N17Rik	0	0	0	0	0	0	1	0	2
Dnajb2	1444	1459	1291	1090	2823	860	1710	1035	2328
Ptprn	7501	5547	5661	4966	6688	2957	7460	5602	9566
Resp18	5816	5099	4969	2168	4551	1606	3580	2099	4911
Dnpep	1754	1515	1451	864	1873	640	1866	1129	2677
Des	19	27	10	22	27	10	15	19	11
Gm15179	1	0	0	0	0	0	1	0	1
Speg	738	622	636	424	1097	371	553	575	870
Gmppa	1228	1383	1018	1353	2594	914	1797	1445	3076
Asic4	2	8	3	3	11	2	5	7	16
Chpf	764	748	746	590	1273	480	916	576	1243
Tmem198	353	304	350	250	864	409	365	241	608
Obsl1	1225	1164	1079	851	1825	701	1247	903	1774
Inha	160	243	167	129	359	79	131	137	212
Stk11ip	1645	1625	1573	1131	2642	943	1795	1375	2343
Slc4a3	1864	1645	1716	805	1909	789	2060	1461	2538
Gm17751	0	0	0	2	0	0	0	0	0
Mir6343	0	0	0	0	0	0	0	0	0
Epha4	531	390	404	421	499	219	385	275	453
Mir6352	0	0	0	0	0	0	0	0	0
Pax3	14	2	6	5	19	6	6	7	4
Sgpp2	1179	904	1378	903	1520	869	901	800	1372
Farsb	2914	2855	2947	3675	6107	2505	3042	1931	4640
Mogat1	0	2	0	8	4	2	0	2	5
Acsl3	2350	2690	2230	4724	5712	2448	2413	2147	3649
Utp14b	1130	974	1147	2083	1822	1043	1386	985	1828
Kcne4	2	0	0	1	4	1	1	0	3
Scg2	7024	7073	6309	7138	6549	3281	4272	3259	4959
Ap1s3	325	296	394	408	452	272	421	338	445
Wdfy1	2069	2487	2097	1901	3456	1433	2082	1623	2923
Mrpl44	495	537	466	317	865	358	619	263	840
Serpine2	95	85	183	93	82	85	93	77	204
Fam124b	1	4	1	6	7	2	0	1	9
Cul3	7670	8269	8430	12188	15060	7545	6346	5393	9355
1700016L21Rik	7	1	3	2	8	2	1	1	1
Dock10	1665	1801	1719	2398	2890	1370	1879	1643	3009
Nyap2	8	9	16	16	19	10	4	5	8
Mir6344	0	0	0	0	0	0	0	0	0
Irs1	1690	1381	1730	1684	2775	1332	1005	663	1373
Rhbdd1	889	1597	906	2177	3903	1425	2084	1421	3519
Col4a4	18	38	12	35	26	14	46	60	66
Col4a3	19	15	18	19	20	3	16	16	28
Mff	2719	2849	2517	2208	4416	1729	2825	1863	4024
Tm4sf20	20	22	25	12	15	15	17	13	23
Agfg1	2956	3146	3239	3499	5706	2904	2837	2318	3827
Slc19a3	0	1	0	12	11	6	6	3	15
Ccl20	0	2	1	1	0	0	1	3	0
Daw1	21	12	29	25	17	11	19	7	9
Sphkap	33801	29101	27484	29022	33626	16537	22764	16339	30402
Pid1	489	457	492	379	501	270	386	233	459
Mir6353	0	0	0	0	0	0	0	0	0
Dner	2591	2112	2006	489	1286	367	1525	996	1523
Mir5126	0	0	0	0	0	0	0	0	0
Trip12	11559	10278	10725	12892	17183	7873	9434	6651	11930
Fbxo36	82	71	78	59	135	52	71	37	112
Slc16a14	185	146	153	257	262	153	177	121	185
A530032D15Rik	5	3	2	6	6	0	3	0	7
Gm7609	17	5	15	3	12	9	30	17	9
C130026I21Rik	59	38	52	98	82	31	33	33	26
Sp110	103	84	101	112	116	48	80	54	200
Sp140	53	41	23	73	71	17	69	47	50
Sp100	58	56	38	72	68	12	54	40	38
A630001G21Rik	0	1	1	1	0	0	0	0	1
Mir8096	0	0	0	0	0	0	0	0	0
9930111H07Rik	0	0	0	0	0	0	0	0	0
