Geneid	KRS7_28_MGN3_2_DMSO	KRS7_31_MGN3_3_DMSO	KRS7_34_MGN3_4_DMSO	KRS7_29_MGN3_2_Tg6h	KRS7_32_MGN3_3_Tg6h	KRS7_35_MGN3_4_Tg6h	KRS7_30_MGN3_2_Tg24h	KRS7_33_MGN3_3_Tg24h	KRS7_36_MGN3_4_Tg24h
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	1	0	1
Pkhd1	2	6	1	7	4	2	4	1	5
4930486I03Rik	0	0	0	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0
Il17f	4	0	4	1	2	1	2	4	2
Mcm3	4108	2793	5778	7974	3683	7110	4253	2680	2791
6720483E21Rik	1	0	0	2	8	0	3	0	0
Paqr8	172	83	135	142	48	106	144	102	102
Efhc1	71	17	41	67	12	55	64	45	33
Tram2	25	47	47	41	25	30	49	34	62
Tmem14a	50	53	81	68	46	62	68	55	53
Gsta3	1	0	0	3	0	1	2	1	0
Gm4956	0	3	0	0	0	0	2	0	0
Khdc1a	0	5	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0
Kcnq5	515	517	718	795	642	826	467	267	587
Rims1	15	5	16	3	2	4	2	0	0
4933415F23Rik	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	1	0	0	0
Mir30c-2	0	0	0	0	0	1	0	0	0
Ogfrl1	279	288	335	248	473	351	397	313	773
B3gat2	0	0	0	1	0	0	2	2	0
Smap1	1658	1967	2064	1846	2229	2185	2805	1942	3656
Sdhaf4	302	81	617	328	66	314	362	246	94
Fam135a	4637	3858	5760	6569	7284	7382	9623	7358	8577
Col9a1	0	3	0	3	1	0	0	0	0
Col19a1	0	0	0	0	1	1	1	2	0
Lmbrd1	1886	1114	2134	2020	1621	1911	2675	1879	1864
Adgrb3	486	327	426	498	402	416	281	139	180
Gm20172	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0
Phf3	5891	9257	6632	7830	10849	9035	9407	5919	15644
Ptp4a1	222	117	269	283	228	281	220	151	182
Gm13363	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	1	0	1	1	1	0
Pih1d3	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	6	0
Khdrbs2	227	222	241	292	253	234	409	244	417
Gm9839	0	0	0	0	0	0	0	0	0
Gm5415	0	12	0	0	0	0	1	0	0
Prim2	961	904	1191	1821	1249	1787	1091	778	961
1700001G17Rik	26	10	31	47	18	63	27	27	24
Rab23	858	713	1224	1244	876	1206	1516	983	1200
Bag2	377	330	516	452	287	344	454	297	425
Zfp451	1535	1569	1736	2429	2300	2614	2184	1303	2435
Gm15455	3	34	10	15	13	31	25	12	8
Bend6	145	134	154	143	168	135	146	93	202
Dst	14640	16435	13384	15004	14091	14421	25715	14110	27500
Mir6896	0	0	0	0	0	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0	0
Ccdc115	373	544	737	957	655	895	1090	774	898
Imp4	634	517	983	1651	618	1521	1423	889	779
Ptpn18	38	15	25	66	16	47	44	33	26
Prss39	0	0	0	0	0	2	2	1	1
Cfc1	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0
Amer3	214	107	216	295	125	278	374	247	235
AA619741	0	0	0	0	0	0	0	0	0
Arhgef4	51	37	89	295	96	197	143	87	41
Fam168b	3720	2475	5294	7767	3905	8014	6065	3764	3589
Plekhb2	2367	1060	3086	2773	1075	2689	2228	1730	1019
Hs6st1	1583	924	1857	1690	774	1460	1375	837	564
Uggt1	9766	7963	12869	13586	10387	14368	22366	15747	20570
Mir6897	0	0	0	0	0	0	0	0	0
Neurl3	103	45	130	236	76	231	113	74	26
Arid5a	189	77	296	1047	295	904	498	336	199
Kansl3	2076	1040	2764	5948	2122	5512	3126	1947	1586
Mir6898	0	0	0	0	0	0	0	0	0
Fer1l5	0	7	3	4	1	2	1	4	0
Lman2l	815	385	1119	1216	437	1194	1484	1029	568
Cnnm4	668	362	755	715	307	687	817	629	611
Cnnm3	608	227	830	829	392	898	838	598	382
Ankrd23	97	50	130	134	70	145	168	103	82
Ankrd39	123	50	248	337	104	253	214	152	56
Sema4c	437	134	624	595	109	457	470	339	139
Fam178b	0	0	0	0	0	1	0	1	0
Cox5b	1472	2191	3401	2495	524	2391	2731	2177	1081
Actr1b	3159	1474	4031	4452	1662	4069	4558	3163	1614
4933424G06Rik	0	2	9	3	1	6	8	0	3
Zap70	0	0	1	1	2	3	2	8	0
Tmem131	7168	8365	6959	7123	7136	6651	6595	4281	8754
Cnga3	17	5	7	21	6	7	17	14	2
Inpp4a	1613	850	1888	1858	830	1724	1897	1336	1010
Coa5	1917	1169	2649	2097	1376	2223	3151	2320	1844
Unc50	787	452	1293	1004	487	1049	1500	1042	663
Mgat4a	650	377	966	656	558	779	1182	893	780
4930594C11Rik	1	9	0	2	0	10	9	3	7
2010300C02Rik	68	32	77	70	33	87	47	8	20
Tsga10	161	116	175	142	127	149	147	85	149
Lipt1	92	41	98	171	75	184	195	106	103
Mitd1	271	299	300	500	355	446	369	208	436
Mrpl30	763	505	1629	1329	377	1178	1727	1120	581
Lyg2	1	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0
Txndc9	1671	1496	2238	2300	1834	2188	2640	1841	2581
Eif5b	4121	7754	4796	6126	9414	5937	6397	4217	12189
Rev1	1082	876	1430	2693	1458	2407	1874	1234	1408
Aff3	1	0	0	3	1	2	2	1	5
Lonrf2	8	8	11	14	10	14	26	14	26
Chst10	431	203	611	418	211	453	562	392	254
Nms	0	0	0	0	0	0	0	0	0
Pdcl3	996	882	1252	1639	693	1425	1656	1142	1411
Mir6349	0	0	0	0	0	0	0	0	0
Npas2	0	0	0	2	0	0	4	2	0
Rpl31	2566	2769	5786	5031	1164	3590	5665	3868	2449
Tbc1d8	382	305	469	504	393	595	1019	604	690
Cnot11	872	700	1148	1093	929	1236	1458	974	1155
Snord89	7	3	7	2	3	4	2	3	0
Rnf149	885	828	945	724	811	832	1049	719	974
Creg2	59	58	64	44	36	40	34	12	11
Rfx8	9	4	8	23	1	9	5	8	7
Gm3646	1	0	2	2	0	0	0	0	0
1700066B17Rik	6	2	4	3	0	5	4	4	0
Map4k4	15341	18608	17613	26328	20112	20815	10614	6588	10720
Gm16894	92	82	113	69	65	88	115	78	99
Il1r2	33	48	40	57	46	37	65	53	13
Il1r1	1277	900	1488	478	485	462	1299	1050	1284
Il1rl2	0	0	0	1	0	0	0	1	3
Il1rl1	0	3	0	0	0	0	2	0	0
Il18r1	1	1	0	0	0	0	0	0	0
Il18rap	0	0	0	1	0	0	3	0	0
Slc9a4	0	1	0	0	0	0	5	0	0
Slc9a2	0	0	0	0	0	2	0	0	0
Mfsd9	16	2	19	17	0	10	24	16	21
Tmem182	0	0	0	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0	6
Mrps9	478	371	560	939	584	824	813	467	562
Gpr45	0	0	0	0	0	0	0	3	0
Tgfbrap1	1236	945	1739	2146	1441	2141	2292	1409	1593
AI597479	805	361	977	1126	655	1225	1107	759	771
Fhl2	1425	690	2319	3663	1083	3518	1319	1024	447
Nck2	490	189	568	790	417	798	516	398	248
1500015O10Rik	556	150	1258	900	145	887	573	344	256
Uxs1	1502	993	1887	1086	657	978	1110	928	874
Tpp2	3116	3451	3343	4360	5154	4152	3326	2124	4399
Mettl21c	0	0	0	0	0	0	0	0	0
Tex30	644	419	983	1191	699	1099	1152	897	719
Kdelc1	507	366	715	840	470	868	1163	772	864
Bivm	811	585	916	1094	886	1047	1254	908	1194
Ercc5	1048	855	1212	1966	1321	1798	1443	781	1225
Mettl21e	0	0	0	0	0	0	1	0	0
Gulp1	710	763	604	741	1347	603	406	317	600
4930521E06Rik	0	0	0	0	0	0	0	0	0
Col3a1	1	0	0	0	0	0	1	0	0
Col5a2	0	0	0	0	0	1	2	0	0
Wdr75	837	652	1402	2737	1806	2480	2510	1435	1483
Slc40a1	3253	1996	4657	1739	1404	2130	1484	1601	991
Stk-ps2	0	0	0	0	0	0	0	0	0
Dnah7b	20	18	21	60	53	66	53	32	62
Slc39a10	430	322	705	186	202	248	253	163	210
Mir6350	0	0	0	0	0	0	0	0	0
Tmeff2	8	13	6	10	14	6	13	8	16
9330175M20Rik	0	0	0	0	0	0	2	0	0
Sdpr	0	2	0	0	0	0	5	0	1
Nabp1	237	197	270	302	228	320	412	261	366
Myo1b	4464	4353	5722	5275	4291	5689	4479	3164	4549
Stat4	0	2	0	0	1	0	2	1	0
Stat1	831	896	1219	1271	1147	1345	1354	924	1507
Gls	5039	3472	5436	4125	4302	4074	4820	3751	3969
Nab1	2382	2715	2687	2022	2521	2223	2021	1532	2881
Tmem194b	126	43	161	264	125	229	121	87	50
Mfsd6	5	3	7	17	24	22	20	29	35
Inpp1	124	65	158	168	51	203	231	142	131
Hibch	240	283	413	498	339	466	848	539	732
1700019D03Rik	0	1	1	3	1	4	28	4	4
Mstn	0	0	0	0	0	0	0	0	1
1700019A02Rik	0	0	0	0	1	0	1	1	5
Pms1	330	292	312	588	505	563	390	241	523
Ormdl1	854	637	1096	1186	859	1179	1255	949	935
Osgepl1	378	419	522	905	782	819	520	309	684
Asnsd1	867	746	1259	1412	826	1698	2053	1337	1757
Dnah7a	2	4	1	4	0	1	5	2	2
Stk17b	714	502	934	1149	912	1117	981	783	674
Hecw2	660	588	896	1733	1492	1869	622	438	664
Mir7681	0	0	0	0	0	0	0	0	0
Ccdc150	23	30	21	33	62	64	79	40	60
Gtf3c3	735	713	1006	1020	903	1081	1230	735	1236
Pgap1	1031	867	1420	1325	1474	1885	1341	824	1075
Ankrd44	537	543	790	529	517	733	526	349	693
Sf3b1	10920	9654	13422	13538	11751	13630	10926	7045	10017
Coq10b	476	279	735	991	786	1069	1042	700	596
Hspd1	10609	14635	15959	8192	7936	8811	16170	11559	18511
Hspe1	1227	1853	3037	1954	832	2085	2750	2056	2053
Mob4	1375	1015	1736	2113	2068	2218	2050	1304	1572
Rftn2	0	0	0	1	0	0	9	3	5
Mars2	139	147	250	354	211	366	391	235	259
Boll	0	0	0	0	0	0	0	0	0
Plcl1	587	655	801	841	956	872	893	597	972
9130227L01Rik	1	0	0	0	0	0	1	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0
Hsfy2	0	1	0	0	0	0	0	0	0
Satb2	20	22	29	65	36	55	74	53	72
9130024F11Rik	0	2	1	4	2	5	0	0	5
BC055402	0	0	0	0	0	1	3	0	0
4930558J18Rik	37	42	58	85	115	133	97	50	68
1700066M21Rik	890	857	1068	1204	1879	1390	1583	1233	1746
Tyw5	223	152	287	561	468	584	475	312	363
9430016H08Rik	227	186	403	653	244	504	466	302	226
Spats2l	2393	3423	3000	3152	3065	2918	1325	898	1827
Kctd18	250	173	355	610	317	542	480	309	293
Sgol2a	1423	1947	1759	1640	2604	1709	1141	802	1668
Aox1	261	286	308	324	202	212	248	247	164
Aox3	38	33	43	31	46	46	9	28	28
Aox4	15	8	6	7	11	6	5	1	0
Aox2	5	2	2	9	7	10	23	4	6
Bzw1	8155	4900	11702	9907	6166	9306	11589	8323	6255
Clk1	2178	2499	2617	4172	3845	3179	3593	2304	3610
Ppil3	331	181	479	624	253	559	582	403	281
Nif3l1	514	222	700	603	271	564	895	559	419
Orc2	2037	2170	3446	5252	4435	5679	5589	4024	5064
Fam126b	2519	1573	2189	1993	2193	2169	2037	1492	1908
Ndufb3	1236	879	2421	1496	246	1356	1909	1444	711
Gm20257	66	83	94	120	99	91	118	112	157
Als2cr12	35	60	21	39	43	21	11	3	11
Cflar	1669	1427	1642	2243	2312	2353	2732	2080	2868
Casp8	248	237	292	324	244	313	194	151	237
Trak2	2955	2638	3948	2891	2604	3210	3903	2986	3136
Stradb	359	240	554	1018	441	896	533	361	287
Als2cr11	0	2	1	0	1	1	7	0	0
Tmem237	756	581	1177	924	539	941	1105	798	994
Mpp4	8	8	11	16	3	12	15	3	3
Als2	2039	1837	3221	2635	1453	2926	1928	1364	1602
Cdk15	0	0	0	0	0	0	2	0	0
Fzd7	1578	1262	1846	2635	1506	2439	737	571	1060
Gm973	931	795	631	1055	678	701	146	77	219
Sumo1	1648	1984	2322	2577	1784	2379	2548	1837	2679
Nop58	3521	4826	5334	9742	9198	9762	8922	5405	9850
Snord70	3	5	1	0	0	1	1	0	6
Snord11	1	1	0	4	0	1	3	2	0
Bmpr2	3006	3943	2724	2492	4343	2527	2939	2388	4983
Fam117b	761	459	765	1359	985	1367	1545	938	935
Ica1l	1	0	6	1	2	1	6	8	0
Wdr12	584	644	994	1173	823	1116	1309	800	1143
Carf	396	285	385	480	491	479	651	393	500
Nbeal1	1484	1479	1637	1912	2252	2499	2538	1686	2529
Cyp20a1	633	467	950	1024	520	930	1401	887	867
Abi2	4665	3649	5751	4149	3515	4492	3694	2759	3200
Raph1	2916	3817	3243	3392	3621	3533	3151	1957	3750
Cd28	0	1	0	0	0	4	1	1	2
Ctla4	0	0	0	3	2	0	3	0	4
Icos	0	1	0	2	0	0	3	1	0
9530026F06Rik	0	0	0	0	0	0	0	0	0
Pard3b	27	14	14	22	9	18	22	8	4
Nrp2	9	11	5	5	0	2	10	2	0
4930487H11Rik	0	0	0	0	0	0	0	0	0
Ino80d	3474	2368	3507	3154	2727	3561	3393	2074	3015
Ino80dos	94	52	67	61	51	61	61	32	72
Ndufs1	3492	3389	4858	4501	3434	4176	3828	2798	2715
Eef1b2	3470	2716	4660	5011	2211	4000	5162	3360	2610
Snora41	3	0	11	1	0	9	11	3	3
Gpr1	0	0	0	0	0	0	0	0	0
Zdbf2	5252	4105	4895	4807	5155	5120	3662	2078	4212
Adam23	561	495	547	552	317	376	330	282	286
Dytn	0	0	0	0	0	2	0	0	0
Mdh1b	2	6	1	6	3	1	3	1	0
Fastkd2	502	375	877	900	693	920	1092	826	786
4933402D24Rik	0	0	0	0	0	0	0	0	0
Gm13749	0	1	0	0	0	0	0	0	0
Mir1958	0	0	0	0	0	0	0	0	0
Klf7	185	263	203	259	253	264	185	141	278
Mir6899	0	0	0	0	0	0	0	0	0
Creb1	1903	1498	1969	1887	1951	2120	2312	1548	2408
Mettl21a	208	79	305	247	88	230	354	277	146
2810408I11Rik	94	80	164	214	186	254	312	233	178
Ccnyl1	296	318	407	415	370	447	404	311	344
Fzd5	975	525	1144	893	420	785	586	352	372
Plekhm3	620	339	745	1035	640	1051	1064	651	599
Akr1cl	0	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0	0
D630023F18Rik	4	0	0	4	7	1	4	0	6
Idh1	832	681	1061	689	567	791	1728	1196	1114
Pikfyve	1332	1068	1796	1999	1938	2449	3400	2404	2332
Pth2r	0	0	1	1	0	0	1	0	1
Crygf	0	0	0	0	0	0	0	0	0
Map2	7496	7509	7317	8364	9740	8088	4644	3684	7042
Unc80	8595	7172	8742	7254	6387	7329	5273	3800	5625
Rpe	1507	1067	1698	1274	1457	1524	1612	1125	1616
Kansl1l	538	521	582	844	1123	937	696	478	914
Acadl	1255	1003	1536	1302	1015	1191	1293	1007	822
Myl1	0	2	6	0	0	2	5	2	0
Lancl1	826	294	1073	1301	483	1223	1733	1094	647
Cps1	2	0	0	1	3	3	6	2	8
Erbb4	0	0	0	0	0	0	0	0	0
Ikzf2	142	51	146	209	157	246	232	161	151
Spag16	2	0	0	0	1	0	0	0	0
Vwc2l	129	39	82	76	33	36	27	11	29
Bard1	1132	1225	1592	1856	1312	1914	806	512	712
Abca12	9	19	17	14	16	9	7	6	3
Atic	1785	1054	2802	2517	1272	2673	2962	1752	1688
Fn1	13	4	5	32	15	44	33	8	2
Apol7d	0	2	0	0	0	0	0	0	0
Gm8883	0	0	0	0	0	0	2	0	0
4933417E11Rik	0	1	0	0	0	0	0	0	0
Mreg	273	152	439	399	190	411	450	282	303
Pecr	206	120	252	378	120	368	851	614	461
Tmem169	131	104	116	164	151	195	289	205	387
Xrcc5	919	697	1216	1173	853	1221	1438	1098	1066
March4	692	536	492	413	235	326	228	164	245
Smarcal1	770	381	895	1045	382	928	962	603	549
Ankar	0	0	0	0	0	0	2	1	0
Rpl37a	2007	760	6169	5265	339	3716	4841	3383	713
Igfbp2	0	0	0	0	0	0	3	0	0
Igfbp5	10	2	14	1	6	6	2	1	0
Tnp1	0	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	1	0	0
Pinc	0	0	0	1	0	0	0	0	0
D530049I02Rik	0	1	0	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	0	0	3	0	0
Mir6351	0	0	0	0	0	0	0	0	0
Tns1	79	20	40	55	7	33	44	18	14
Rufy4	0	0	0	0	0	0	1	0	0
Cxcr2	0	0	0	1	0	1	4	4	0
Cxcr1	0	0	0	1	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0	0
Arpc2	4243	4260	5149	5548	4668	4875	5130	3524	5702
Gpbar1	10	0	7	3	1	5	2	1	0
Aamp	2682	1956	3653	4111	969	3384	3957	2812	2182
Pnkd	436	236	812	620	140	542	589	500	145
Tmbim1	738	408	1232	1336	497	1494	1502	1312	553
Catip	1	3	0	3	1	1	7	5	6
Slc11a1	2	3	0	1	0	1	1	1	2
Ctdsp1	1190	307	1638	1838	454	1814	1271	840	465
Mir26b	0	0	0	0	0	0	0	0	0
Vil1	129	69	217	163	40	131	52	32	35
Usp37	2735	1987	3267	4402	3606	4643	4043	2656	3231
Rqcd1	2186	1665	3430	4031	2188	3871	3646	2204	2305
Plcd4	1	3	0	1	1	4	1	0	0
Zfp142	1117	810	1288	2390	1715	2441	2122	1302	1565
Bcs1l	358	187	571	776	222	614	496	410	259
Rnf25	624	396	798	1427	667	1153	886	577	600
Stk36	488	185	463	430	114	399	346	217	109
Ttll4	895	644	1315	1179	505	1177	1037	711	651
Cyp27a1	34	13	40	84	20	75	150	116	60
Prkag3	2	0	0	0	2	1	1	0	0
Wnt6	10	0	6	20	0	6	7	0	3
Wnt10a	13	0	14	18	2	10	8	0	6
Cdk5r2	1301	703	1406	1215	457	1206	673	433	431
Fev	231	104	143	164	61	137	370	151	406
Cryba2	229	81	254	290	64	201	174	101	62
Mir375	1	0	0	0	0	0	0	0	0
Ccdc108	198	81	165	161	97	142	131	71	60
Ihh	3	0	7	8	3	9	12	3	0
Nhej1	20	10	50	51	10	56	32	22	16
Slc23a3	3	0	8	10	2	5	11	3	0
Cnppd1	1018	379	1376	2519	598	2112	2476	1814	780
Fam134a	3785	1271	4490	4165	1288	3997	4047	2971	1606
Zfand2b	272	61	295	589	192	581	394	242	176
Abcb6	1936	1089	2739	2540	1090	2232	3196	2137	1460
Atg9a	1943	762	2724	2788	836	2461	2425	1604	700
Ankzf1	603	316	707	1230	343	975	950	656	422
Glb1l	265	103	369	311	135	318	258	173	143
Stk16	1115	576	1818	1864	443	1642	1428	1042	550
Tuba4a	1664	1233	2332	1683	754	1305	1474	1214	962
A630095N17Rik	0	2	0	3	1	3	0	0	0
Dnajb2	642	394	998	1973	366	1840	1379	860	414
Ptprn	15600	6438	16646	14968	4616	12966	12514	9252	6231
Resp18	2536	1112	3761	3369	988	2646	2408	2071	885
Dnpep	1152	522	1794	1795	583	1576	1860	1378	661
Des	167	105	152	172	52	107	80	48	82
Gm15179	9	5	16	8	3	5	4	6	0
Speg	459	169	582	843	199	755	408	275	174
Gmppa	1707	694	1954	2767	996	2408	3025	2013	1181
Asic4	3	2	14	8	0	11	4	3	1
Chpf	768	275	894	978	269	1031	1203	772	331
Tmem198	327	42	459	931	148	853	502	323	71
Obsl1	614	235	836	1137	296	1182	1033	644	326
Inha	122	17	158	225	67	212	144	105	61
Stk11ip	592	258	647	1076	237	1004	827	530	325
Slc4a3	1578	600	2280	2203	526	2154	2136	1448	625
Gm17751	1	0	0	0	0	0	0	0	0
Mir6343	0	0	0	0	0	0	0	0	0
Epha4	2142	1793	2513	1660	1331	1494	787	611	763
Mir6352	0	0	0	0	0	0	0	0	0
Pax3	0	0	0	0	0	0	6	0	0
Sgpp2	2433	1049	2474	2070	985	1713	928	555	522
Farsb	1616	1228	2526	3400	2627	3632	4138	2751	3084
Mogat1	0	0	0	0	0	0	2	0	0
Acsl3	929	1067	988	1511	1899	1352	1344	837	1801
Utp14b	302	503	425	446	645	474	570	311	562
Kcne4	1	0	0	1	0	0	0	0	0
Scg2	29046	34970	24834	15238	16414	12063	15043	11305	15213
Ap1s3	504	532	409	461	868	363	394	336	595
Wdfy1	2755	2274	3437	3609	2509	3815	3313	2275	2538
Mrpl44	267	195	461	559	128	542	630	417	194
Serpine2	729	553	1323	540	441	765	823	626	622
Fam124b	0	0	0	0	1	2	1	5	0
Cul3	4051	5273	4998	5233	7919	5486	5634	3958	7914
1700016L21Rik	1	0	6	3	1	1	0	3	0
Dock10	0	1	0	3	3	4	7	0	1
Nyap2	34	20	15	10	5	1	1	0	0
Mir6344	0	0	0	0	0	0	0	0	0
Irs1	2985	2294	3608	3861	2332	3762	1475	1067	1320
Rhbdd1	1091	799	1681	2814	1689	2726	4109	3340	3309
Col4a4	2543	1330	2106	1443	804	1324	2032	1595	1573
Col4a3	773	572	722	426	307	337	425	295	462
Mff	2082	1368	2710	2626	1819	2470	3261	2422	1932
Tm4sf20	0	0	0	0	0	0	0	0	0
Agfg1	2175	1739	2687	2506	2727	2968	3635	2493	2484
Slc19a3	0	0	0	4	5	3	3	7	0
Ccl20	0	0	0	1	0	0	0	1	0
Daw1	0	2	0	0	0	0	0	0	0
Sphkap	1370	1546	2346	1282	956	1361	402	282	350
Pid1	200	191	414	277	248	335	177	185	127
Mir6353	0	0	0	0	0	0	0	0	0
Dner	5586	3089	7052	4080	2789	3890	1462	1526	1013
Mir5126	0	0	0	0	0	0	0	0	0
Trip12	9903	8979	11508	13080	10248	13012	12076	7930	11174
Fbxo36	54	35	49	64	28	38	82	51	55
Slc16a14	1	0	3	6	8	5	2	0	8
A530032D15Rik	1	0	0	4	0	2	2	0	0
Gm7609	0	0	0	0	0	3	0	2	0
C130026I21Rik	59	43	36	77	110	52	98	76	72
Sp110	6	5	2	4	2	4	6	3	2
Sp140	72	59	35	123	74	72	124	68	93
Sp100	0	4	0	4	0	1	2	0	0
A630001G21Rik	2	4	2	7	5	5	15	3	0
Mir8096	0	0	0	0	0	0	0	0	0
9930111H07Rik	0	1	0	0	0	0	0	0	1
Cab39	4868	5080	5565	3962	5423	4347	5173	3846	6303
Itm2c	9477	3117	13249	9559	2339	8068	9828	7276	2987
4933407L21Rik	14	5	18	8	2	5	5	2	0
Gpr55	7	0	8	5	4	6	3	2	0
Spata3	0	0	0	0	0	0	0	0	0
2810459M11Rik	650	267	861	777	190	603	225	139	96
Psmd1	6038	5727	7639	7018	5089	6582	6655	4331	5559
Htr2b	0	0	1	2	3	2	4	0	0
