Geneid	KRS7_1_QGP1_1_DMSO	KRS7_4_QGP1_2_DMSO	KRS7_7_QGP1_3_DMSO	KRS7_2_QGP1_1_Tg6h	KRS7_5_QGP1_2_Tg6h	KRS7_8_QGP1_3_Tg6h	KRS7_3_QGP1_1_Tg24h	KRS7_6_QGP1_2_Tg24h	KRS7_9_QGP1_3_Tg24h
NEIL1	94	31	131	13	53	29	66	72	85
RCBTB1	835	642	1308	578	833	573	780	755	613
CELF4	611	652	1063	560	803	454	1446	1254	1217
TGDS	116	109	202	195	322	181	232	225	202
WDR20	344	260	714	251	655	319	474	489	446
KIR2DL2	0	0	0	0	0	0	0	0	0
LCMT2	345	167	853	107	411	201	333	367	296
C2CD5	2836	2133	4986	1515	2461	1635	2059	2177	1972
PCNX2	658	501	1053	508	956	577	1075	1144	1185
JAKMIP2	2075	2441	3460	2877	3319	1755	3316	3318	2678
ZNF623	33	13	52	7	47	24	55	59	41
ELMO1	22	7	30	13	37	20	12	12	16
DNAJC1	387	386	685	690	668	441	830	607	573
TESPA1	2	3	0	0	0	0	5	0	5
RUSC2	354	180	560	125	267	163	291	246	179
EPM2AIP1	1422	1340	2206	1170	1468	967	1295	1173	1279
CDK11A	478	759	997	733	691	427	661	799	590
PTPRK	0	0	0	0	0	0	0	0	0
AP3D1	5235	5299	7775	8996	10869	6369	8487	7427	5610
SP110	29	67	57	44	30	19	50	50	21
HNRNPAB	3781	4043	10892	3655	5976	4090	3874	4866	2969
ONECUT1	7	1	6	6	0	3	2	0	4
IDI1	5782	4246	9068	7001	10785	6612	8641	6973	5843
HUS1	571	359	1130	378	763	513	523	481	445
FOXA3	117	48	213	25	142	59	139	103	97
HSF2	506	441	1058	522	701	353	648	672	357
AMPD2	766	352	1166	501	1775	809	958	790	642
USP6	2	1	6	6	5	1	1	5	2
AGFG1	2024	1346	2907	1482	2033	1644	2299	1900	1585
LOC105378591	0	0	1	0	0	0	0	0	0
MED27	383	296	927	308	853	386	517	622	405
UXS1	676	700	1224	570	592	410	979	690	738
YME1L1	5319	4514	9266	6737	11187	6146	8838	8828	7900
MND1	129	176	482	83	134	155	80	123	12
ERLIN1	2853	1972	5101	1406	3229	1816	2625	3247	2361
SH2D3C	84	19	73	23	91	55	204	232	208
ASB11	0	0	0	0	0	0	0	0	0
NBL1	0	0	1	0	0	1	0	0	0
AP4B1	724	431	1474	431	1531	741	846	1204	964
ZNF821	256	172	400	86	253	124	314	317	178
PRKCZ-AS1	24	18	16	4	19	13	28	29	14
MORF4L2	10942	9318	23410	11179	20094	11726	14225	15035	11780
CRISP2	2	11	6	8	8	8	14	26	8
SHMT1	537	359	1382	222	468	394	284	327	70
FAAP20	518	225	1090	201	672	377	620	539	493
TMEM52B	0	0	0	0	0	0	0	0	0
APOM	0	0	0	0	0	0	0	0	0
PEX5L	663	555	994	233	318	242	314	285	257
LOC100129534	47	16	85	11	43	35	68	76	65
MORN1	118	60	237	29	129	56	126	150	132
INSC	10	5	42	10	47	29	120	115	118
AEBP1	65	61	111	44	77	25	79	56	82
TNF	0	0	0	0	0	0	0	0	0
PLEK	1	3	1	0	0	0	0	4	0
MAL	0	0	0	0	0	0	0	0	0
ADSS	802	748	1523	1036	1287	860	1191	988	842
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0
DTYMK	313	134	1252	125	437	303	309	434	180
CLCN4	519	323	871	232	554	284	841	871	735
LOC100996583	0	0	0	0	0	0	0	0	0
GTDC1	147	79	375	125	131	195	276	199	254
URI1	1131	1025	1908	1400	1719	1171	1826	1563	1497
SLC13A2	0	0	0	0	0	1	0	0	0
PCDH15	192	143	405	52	89	77	40	41	18
ST18	4245	4254	5382	3675	3727	2468	2890	2664	2479
TBC1D2B	1072	564	1956	298	794	491	684	733	509
NPDC1	1222	183	1950	199	1164	695	1202	943	745
ANAPC13	829	554	1419	808	1963	1175	1161	1219	1111
YIPF3	1647	829	3065	745	2596	1145	2039	2147	1779
MIR4251	0	0	0	0	0	0	0	0	0
DYNC1LI2	6472	5475	11036	4385	7425	4523	7584	7465	7518
C9orf64	347	373	709	205	462	217	501	552	374
MPZL3	556	304	1019	533	1304	815	1588	1405	1525
BPNT1	688	432	1559	524	1417	529	676	854	655
MIR551A	0	0	0	0	0	0	0	0	0
DUSP8	39	12	48	22	28	40	76	59	23
DUSP2	31	5	66	18	85	40	26	35	39
BANK1	1	0	0	0	1	0	0	0	3
LRP10	3056	1268	4576	703	2864	1389	2818	2634	2372
DPEP1	0	0	0	0	0	0	0	0	0
TRDMT1	144	73	259	100	105	107	79	102	61
DYNC1I1	762	504	1615	530	1396	717	1410	1360	1485
DDX11	575	392	1584	245	480	609	504	463	266
ARHGEF7	1116	890	2034	955	1780	973	1278	1371	1207
DDX10	1017	1234	2432	2334	2185	1339	2056	2251	1706
IGSF11	0	0	0	5	0	3	0	0	0
DGCR5	54	29	97	21	120	34	138	159	117
RN7SL1	381	313	163	620	148	234	540	351	654
FAM49B	1334	1353	2595	1304	1244	925	1113	1100	732
DNAJC10	12368	8933	17568	12412	18554	13191	25655	22151	21528
NETO1	0	0	0	0	0	0	1	0	0
KDM4C	458	365	883	372	637	344	542	565	444
LINC01345	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	1	1	0	0
LINC01646	0	0	0	0	0	0	0	0	0
ADAM28	2830	2502	3777	3308	5278	3223	5044	4422	4874
MIR4689	2	0	0	0	2	2	1	0	0
PCYT1B	989	917	2263	760	1667	751	1163	1554	922
HMGCLL1	47	61	142	41	47	43	27	17	16
CLIC1	1	1	2	0	2	0	1	0	0
EGFL7	649	127	946	54	275	137	248	207	135
ERI1	365	256	677	335	377	473	472	503	358
LY6H	0	0	0	0	0	0	0	0	0
DYNC1I2	3915	3335	7858	3099	5687	2898	4424	4518	3673
NMI	112	107	236	130	142	101	205	175	167
MTMR4	2807	1766	4741	2186	5729	3391	3554	3751	3219
ARSG	155	109	232	62	103	78	124	155	110
HTR7	50	43	136	65	126	92	115	136	163
HTR6	18	9	51	2	4	3	18	8	4
LOC102724450	2	0	9	0	1	0	5	5	0
PTK2	3106	2215	5497	1708	3003	1872	2664	2892	2237
PLBD2	1118	570	1515	359	893	532	747	549	563
FUT11	506	407	757	237	437	272	303	341	321
ZNF596	23	7	34	18	14	8	17	7	17
CNBD1	0	0	0	0	0	0	0	0	0
GTF2IRD2	33	27	39	26	25	18	47	27	40
GABRG1	1	0	3	0	0	0	0	0	0
CLEC4F	1	0	2	0	1	0	0	0	0
C18orf54	526	466	1360	299	251	576	462	448	59
MIR4252	0	0	0	0	0	0	0	0	0
SPINK1	0	0	0	0	0	0	0	0	0
SPIB	0	0	1	0	0	1	0	0	0
RFXANK	297	142	577	115	564	199	384	334	290
CDK13	2031	1959	3126	2283	2950	1979	3501	3416	2881
CRHR1	0	0	0	0	0	0	0	0	0
SLC1A5	2114	1101	4622	3014	11990	6969	9396	9433	8360
SOX6	4	3	9	0	3	3	4	5	12
CCSER1	143	100	197	93	129	57	194	220	215
USP27X	173	115	269	103	155	61	184	145	125
SNX20	0	0	0	0	1	0	0	0	0
SF3A3	2716	3606	6135	4468	6374	3069	4120	5151	3786
WDR54	558	209	1426	134	718	350	516	626	355
OGFOD1	1482	1161	2819	2164	3698	2207	2924	3286	2722
MAGED1	11146	6263	16806	4458	13303	5895	7569	7776	6933
CAND2	67	34	88	9	25	11	22	25	2
KDM2A	2737	2179	5000	2169	4573	2580	3524	3491	2920
RABL2B	179	170	424	105	283	146	345	343	323
NR4A3	3	9	11	238	479	301	305	267	313
PTP4A3	39	0	87	3	43	14	32	6	17
AP4S1	75	32	121	67	82	83	91	85	63
WDR45	739	311	1216	427	1529	698	1296	1193	962
CORO1A	569	96	972	143	967	450	345	423	272
HHLA2	0	0	0	0	0	0	0	0	0
LINC01672	0	0	0	0	0	0	0	0	0
MCRIP2	109	29	225	8	152	81	118	166	63
SNORC	21	12	42	9	56	36	38	49	45
CMC1	232	129	564	155	428	145	293	336	300
MAPK8	1259	810	2345	1056	2117	1179	1324	1410	1217
LINP1	0	0	0	0	0	0	0	0	0
EPB41L5	1039	848	1959	448	662	525	1354	1267	1209
C15orf54	2	0	1	1	0	0	0	0	0
TIMELESS	2313	1785	6303	1111	2240	2283	960	1164	359
LAIR1	0	0	1	0	0	0	0	0	0
BLACAT1	1	1	7	0	0	0	0	0	0
LOC102725193	0	0	0	0	0	3	0	0	0
HDAC9	732	626	1206	1136	2024	1183	1546	1269	1266
SPHK2	702	184	1052	129	1001	445	732	617	415
DDR1	1198	274	1737	171	1075	580	1025	820	766
DOCK8	11	4	10	15	13	14	14	11	5
SENP1	1561	1734	3044	1508	2073	1367	1564	1770	1315
FBXW10	0	0	3	0	2	0	1	3	10
TRIM69	1	3	1	0	0	0	4	0	0
MUC22	0	0	0	0	0	0	0	0	0
STX18	656	654	1172	1099	1064	623	1168	1083	853
ITSN1	892	1109	1526	1183	1115	687	1032	1101	851
LINC01714	0	0	1	0	0	0	1	0	0
VAX1	0	0	0	0	0	0	0	0	0
GNE	853	528	1614	548	1364	758	937	1017	877
HCCS	436	404	871	603	945	524	917	827	731
SPRED2	3649	3198	5667	4040	6051	3648	3518	3140	2913
NDRG2	378	237	664	134	337	142	162	189	118
PRAC2	0	4	0	0	0	0	0	0	0
LOC102724552	0	0	0	0	0	0	0	0	0
SNORD128	0	0	0	0	0	0	1	0	0
ABRAXAS1	281	273	451	234	246	156	286	250	230
MAPK9	1164	670	1823	740	1230	955	1382	1276	1047
ARID5A	189	79	338	305	1258	723	1038	792	536
MIR6728	0	0	0	0	0	0	0	0	0
ENO1-AS1	2	0	5	0	1	1	3	0	1
ZNF438	88	83	162	49	74	47	59	98	65
CACFD1	379	65	600	57	457	185	319	283	216
NAP1L4	102	15	207	30	100	64	100	123	54
TLR6	141	207	342	78	121	117	156	189	161
AKR1A1	1887	697	4847	754	3761	1786	2836	3256	2425
ST8SIA5	4	5	2	3	3	1	3	0	1
LSR	2190	819	3542	854	2575	1418	2327	2538	1631
ATL1	806	519	1727	258	431	292	460	520	351
ABHD17B	808	365	1198	396	1058	701	834	764	620
MIR34AHG	47	32	108	10	31	13	41	33	26
LINC01759	10	2	26	0	6	1	3	0	5
EPB41L1	937	726	1626	477	889	438	1070	1027	773
BMX	0	0	0	0	0	0	0	1	1
LOC100506022	4	5	4	4	0	0	0	0	0
SCYL2	2358	1979	2945	2293	2725	2159	3200	2607	2350
GOSR2	1298	609	2263	935	2539	1448	1635	2020	1522
PIK3CD-AS1	0	1	0	0	0	0	0	0	0
PIK3CD-AS2	59	68	142	20	87	36	60	70	55
TRAF1	226	100	479	53	214	91	295	405	278
FAM193B	658	240	1243	211	847	578	924	1040	731
MIA2	358	313	587	790	1309	681	1719	1538	1411
BCL2L11	1140	580	1720	722	1428	942	1358	927	875
ZNF559	99	40	197	58	82	49	95	85	70
CCNI2	2	0	4	0	0	2	3	0	2
FGD4	1269	1252	1791	875	1129	772	1049	961	732
GLYR1	2051	1573	3606	1495	2453	1218	1779	1909	1386
JAK2	226	182	360	177	229	180	301	259	294
SAP130	1667	2221	3549	1909	2429	1454	1568	1984	1214
RIPPLY3	19	11	32	6	3	3	5	5	1
MIR5697	1	0	0	0	0	0	0	0	0
RBP7	0	0	0	0	0	0	1	0	0
AURKAIP1	639	337	1938	313	1139	521	729	972	687
CD59	2150	1022	5234	270	866	442	1342	1291	1114
LRRC31	0	0	0	0	0	0	0	0	0
KCNJ15	5	0	0	7	0	0	0	0	0
GAB2	2098	1998	3906	1932	3270	1736	3543	3725	2963
OR12D2	0	0	0	0	0	0	0	0	0
ACTL6A	1179	860	3053	1023	2088	1170	1324	1617	1083
SNX24	420	420	777	372	373	278	363	350	241
RNU6-1	0	0	0	0	0	0	0	0	0
IL15	1	0	3	0	3	4	0	12	1
RNU6-2	0	0	0	0	0	0	0	0	0
NEU4	0	0	0	0	0	0	0	0	0
SLC34A1	0	0	0	0	0	0	0	0	0
CDON	205	96	310	152	276	154	288	248	274
CENPS-CORT	0	0	4	0	1	0	2	0	1
CENPS	32	3	55	2	25	23	17	29	16
CCDC103	93	64	168	44	96	28	119	94	83
SMPX	0	0	0	0	0	0	0	0	0
CTNNA3	1	0	0	0	0	0	1	0	0
PPP1R15A	725	618	1127	2568	3440	2102	4846	3756	3533
EDC4	1472	742	2391	575	1863	980	1373	1321	968
RUSC1	1516	717	2817	591	1786	988	1817	1638	1453
BRD7	1509	2227	2847	2361	1623	1125	1571	1564	1137
HSD11B1L	56	10	156	6	84	19	73	45	58
KRTAP12-3	0	0	0	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0	0	0	0
USH2A	12	7	23	3	11	14	7	3	11
KRTAP10-5	0	0	0	0	0	0	0	0	0
KRTAP10-2	0	0	0	0	0	0	0	0	0
LOC105376736	6	0	5	0	4	0	2	0	2
PCMTD1	542	478	730	325	428	352	707	484	550
TMEM218	318	132	729	112	416	230	465	496	471
TRAPPC3	1173	929	2798	800	2038	900	1581	1819	1260
TFPI2	2	0	0	0	0	0	0	0	0
SLC25A10	561	156	1386	100	471	351	320	297	153
MTOR-AS1	0	0	0	0	0	0	1	0	0
ALDH1A1	3049	3404	5772	1846	4368	1914	3655	4304	3062
LINC01647	0	0	4	2	0	0	1	0	0
TSEN34	0	0	0	0	0	1	0	3	0
CHD1L	2315	1723	4760	1203	2669	1556	1722	2500	1561
BAG3	1076	636	2217	580	1604	848	976	950	634
SLC25A27	180	148	361	104	226	175	309	354	384
UCA1	0	0	2	0	1	0	0	3	0
MSTO2P	155	67	263	226	790	439	240	472	331
EML2	1088	503	2058	440	1791	735	1361	1844	1387
SCN1A	449	500	1061	391	975	783	685	1024	908
LOC102724659	0	0	0	0	0	0	0	0	0
MGST1	640	485	1583	259	587	409	575	600	623
FAM189B	0	1	0	0	0	0	0	1	0
SERPINB8	163	112	270	692	635	441	750	593	733
NPPA-AS1	12	1	24	7	33	10	9	0	14
CEP70	722	855	1802	1146	1097	728	1097	1152	811
WTAP	1256	948	2178	1077	1872	1062	1686	1521	883
USP19	743	253	1400	178	921	415	748	789	641
GCDH	336	117	781	105	652	323	387	433	336
ELP2	2018	1253	3718	1270	3324	1701	3112	3329	3036
PPP1R17	0	0	0	0	0	1	0	1	0
MIR6729	0	0	0	0	0	0	0	0	0
HLA-DPA1	0	0	0	0	0	0	0	0	0
UBE2F	453	196	725	244	588	287	539	587	395
MIR7846	0	0	0	0	0	0	0	0	0
NCR1	0	0	0	0	0	0	0	0	0
GAPVD1	1764	1535	3159	1495	2708	1635	2493	2586	2132
MSLN	0	0	0	0	0	1	0	0	1
PSMD1	4622	3981	9933	3759	6654	3888	4808	5267	4083
HDAC7	964	297	1587	269	880	500	670	729	411
BEST1	72	35	46	193	357	180	2221	2900	2192
UXT	224	164	966	153	756	205	367	507	406
UCHL1	166	110	404	79	274	130	286	361	272
SNORA59B	0	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0	0
PLSCR4	5	2	10	0	8	3	4	3	1
MIR6730	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	1	0	0
PCID2	215	130	487	152	429	170	351	526	352
RUVBL1	737	731	1797	827	1249	647	1243	1285	913
DUSP23	146	64	342	21	254	95	142	179	136
PRAMEF36P	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0
TTC13	685	895	1118	593	607	334	797	740	654
IRX4	0	0	0	0	1	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0
C16orf92	0	0	0	0	0	0	0	0	0
LRRN3	7	0	3	0	0	1	1	0	0
MLF1	261	176	568	291	606	304	529	570	469
DHX16	0	0	0	0	0	0	0	0	0
PRAMEF14	1	0	0	0	0	0	0	0	0
PRRC2A	364	157	506	93	325	244	294	254	180
POMZP3	3	5	8	9	2	1	3	7	2
APBA2	1	0	0	0	2	4	0	0	6
PARN	0	0	1	0	0	0	0	0	0
CFAP97D1	0	0	0	0	0	0	0	0	0
PSG8	0	0	0	0	0	0	0	0	0
UBE2H	5349	3820	7132	2607	4630	2504	5895	5723	4157
TMEM51	212	118	343	89	219	116	211	157	141
PRR20D	0	0	0	0	0	0	0	0	0
GRIFIN	0	0	0	0	0	0	0	0	0
LENG9	2	0	4	0	6	1	1	0	5
LRRFIP2	512	704	1047	1138	799	576	1063	979	710
IFNAR2	443	291	855	258	509	316	436	406	386
OR2J1	0	0	0	0	0	0	0	0	0
SFXN5	422	189	786	179	718	380	488	535	360
NAF1	228	241	343	376	349	260	333	270	255
CAMTA1-DT	1	0	4	0	0	1	3	11	3
KAZN-AS1	0	0	0	0	0	0	0	0	0
TEX261	1375	940	2754	843	2475	1323	1847	1833	1434
L3HYPDH	82	102	167	47	110	79	158	178	152
GLMP	890	428	1403	189	764	411	658	485	444
DNAJC16	511	374	669	333	589	355	619	635	575
SEPT2	9693	7153	17198	7964	14712	8486	12103	11438	10479
EED	507	349	1285	258	644	372	444	811	447
PRKN	799	640	1188	879	1150	780	1064	935	781
ENOX2	382	305	880	280	530	355	488	518	413
STK25	1398	668	2775	663	1543	935	1260	1185	942
VAT1	4453	1628	6945	1456	5192	2710	5683	4817	4295
SYNCRIP	4162	5251	7404	6526	6012	4760	5579	4915	3912
FLJ37453	46	24	132	14	64	19	37	26	29
AP2M1	2712	1536	5251	1479	3930	2072	2813	2806	2347
MIR5096	0	0	0	0	0	1	0	0	2
FBRSL1	938	388	1261	325	844	602	943	659	466
KCP	1	0	1	0	2	2	0	0	1
FLNB	4379	2632	7089	1636	3671	2051	4298	4386	3378
EMCN	0	0	0	0	0	0	0	0	0
TFDP2	1447	1182	2511	841	1528	869	1321	1565	1029
RAD17	168	127	314	78	275	172	307	264	218
TESK1	445	158	680	211	526	370	590	457	341
MYO18B	0	0	0	5	0	0	0	2	0
TBATA	0	0	0	0	0	0	0	0	0
GRB10	479	183	668	735	2390	1108	2551	2547	2270
DDX59	331	354	727	313	637	339	508	602	408
FBXW7	4855	4820	8437	1926	2689	1871	1397	1757	1367
ARL3	437	445	1093	474	772	358	500	668	522
TNFSF14	0	0	0	0	0	0	0	0	0
ABCB7	531	426	1009	284	676	312	446	468	334
RIPK1	1409	1043	2425	755	1399	824	1140	1224	1010
PIGA	282	237	669	890	1535	1097	1291	1365	1019
YIF1A	759	368	1391	144	394	227	972	666	653
ABO	322	704	431	374	205	89	220	288	212
WDR4	82	79	221	60	240	130	147	238	160
NLRP4	0	0	0	0	0	0	0	0	0
CD99L2	3567	2363	7119	1622	4200	1940	2536	3176	2557
PPFIBP1	3001	2321	4901	2899	4524	2784	4089	3975	3564
TMEM209	1631	1362	2877	1128	1677	1295	2168	2049	1371
KLHDC10	2738	2206	4241	2622	5049	3065	4127	3838	3196
RNVU1-18	0	0	0	0	0	0	0	0	0
RNU1-3	0	0	0	0	0	0	0	0	0
RNU1-4	0	0	0	0	0	0	0	0	0
RNU1-2	0	0	0	0	0	0	0	0	0
LINC01783	1	0	1	0	0	0	1	0	0
PROM2	793	379	796	221	505	192	267	221	199
MIR3675	0	0	0	0	0	0	0	0	0
CCDC181	209	351	481	562	498	307	526	594	413
PPP3CB	1234	891	2118	556	1012	898	1099	947	923
CROCCP2	108	51	189	37	123	85	121	81	82
MST1P2	29	17	57	6	19	13	28	14	18
ESPNP	5	5	12	0	0	1	4	0	1
PKIG	183	90	331	111	336	139	250	229	163
WDR6	2453	920	5530	600	3143	1395	1384	1824	1475
OSBPL1A	287	206	535	178	225	154	156	185	99
LOC105376805	33	24	191	4	85	28	31	39	31
SBNO2	30	9	82	1	54	23	44	25	39
EBP	1114	653	3772	752	2520	1096	1546	1872	1237
ZNF22	797	654	1495	866	1354	726	1258	1122	1054
ZNF182	337	345	571	323	427	224	445	509	379
KHDRBS3	1087	1270	2286	870	1119	656	1113	1161	831
DMRT2	0	0	0	0	0	0	0	0	0
ZNF19	160	96	224	51	122	54	186	211	188
ZNF17	172	113	275	112	216	156	191	250	229
KPTN	62	38	168	31	120	55	30	53	34
CAPN11	0	0	0	0	0	1	0	0	0
ZWINT	508	534	1872	260	386	437	204	223	41
ROPN1B	17	8	33	0	14	7	10	12	13
KIF2C	1651	1230	7990	815	1725	2155	1255	2369	187
PPARGC1A	600	756	780	1512	1492	884	814	952	789
TP53I11	3113	2446	5227	1435	2117	1288	2185	2019	1397
INVS	572	559	943	653	1045	578	735	742	645
ELP1	1962	1451	3772	1350	3581	1852	2807	3142	2876
MIR3972	0	0	0	0	0	0	0	0	0
LRRC63	11	30	37	0	6	3	7	23	1
SAA4	0	0	0	0	0	1	0	0	0
TFG	1626	1467	2957	2528	4342	2419	3155	2886	2608
LINC01491	0	0	0	0	0	0	0	0	0
OPRM1	2	0	2	0	0	1	0	0	0
LINC01581	0	0	0	4	0	0	0	0	0
LINC01521	201	177	356	25	100	33	112	135	106
GRTP1-AS1	0	0	0	0	0	0	0	0	0
BICD1	765	809	1187	903	1093	809	1248	1102	1118
P2RX4	336	146	564	180	468	205	351	368	264
GPC5-AS2	0	0	0	0	0	0	0	0	0
UBL7-AS1	74	34	212	22	47	46	59	71	33
DLGAP1-AS2	154	111	239	106	287	170	470	580	619
FER1L4	15	6	20	1	14	5	7	16	9
PCAT2	1	0	1	0	4	1	2	0	1
FUT8	433	298	834	244	459	233	565	516	488
CASC19	5	1	12	0	1	3	0	3	3
LINC01276	0	1	0	0	0	0	0	0	0
ADORA3	0	0	0	0	0	0	0	0	0
APOE	61	21	73	19	55	16	37	16	46
LINC01654	0	0	3	0	0	0	0	0	0
SPATA31C2	0	0	0	0	0	0	0	0	0
RASGRP3	16	39	68	256	460	231	545	568	613
ATP5MC2	850	733	3192	360	1834	560	795	1434	863
CHRNA3	214	72	201	125	121	77	91	59	60
CDK3	0	0	0	0	0	0	0	0	0
MIR4695	0	0	0	0	0	0	0	0	0
ZNF565	51	35	154	51	83	47	73	121	74
UBAC1	591	448	1100	311	585	331	511	435	249
C20orf194	950	686	1615	378	886	487	802	777	759
NOX5	2	0	0	0	0	0	0	0	0
ING4	403	197	741	185	520	196	369	361	249
THAP11	334	117	716	79	521	176	343	457	309
SPRYD7	407	313	739	264	461	364	554	395	400
ADGRG6	4116	3089	8056	2475	3741	3172	2363	2160	1627
ATP10D	985	620	1555	1021	2111	1047	1436	1243	1339
LOC101927895	17	11	31	2	20	13	20	24	18
SEC14L1	2400	1500	4595	1483	4823	2327	2651	2683	2466
BSDC1	2451	1231	3858	1112	3660	1591	3027	2857	2423
AGAP5	36	34	63	35	50	58	53	58	69
ODC1	2454	1986	6408	3445	6312	4003	3367	3141	2247
AKR7L	4	10	14	7	14	9	10	8	5
